"Journal Data Filtered By:  Selected Categories: LIMNOLOGY;LINGUISTICS;LITERARY REVIEWS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Annual Review of Applied Linguistics","ANNU REV APPL LINGUI","0267-1905","1471-6356","LINGUISTICS - SSCI","1,612","3.7","Q1","2.6","31.43"%,
"Language Teaching","LANG TEACHING","0261-4448","1475-3049","LINGUISTICS - SSCI","2,677","3.6","Q1","2.42","16.54"%,
"APPLIED LINGUISTICS","APPL LINGUIST","0142-6001","1477-450X","LINGUISTICS - SSCI","5,599","3.6","Q1","2.12","19.25"%,
"Bilingualism-Language and Cognition","BILING-LANG COGN","1366-7289","1469-1841","LINGUISTICS - SSCI","4,364","3.6","Q1","1.67","38.58"%,
"Language Culture and Curriculum","LANG CULT CURRIC","0790-8318","1747-7573","LINGUISTICS - SSCI","1,001","3.5","Q1","1.99","9.62"%,
"Studies in Second Language Learning and Teaching","STUD SECOND LANG LE","2083-5205","2084-1965","LINGUISTICS - SSCI","1,220","3.4","Q1","1.61","91.67"%,
"Annual Review of Linguistics","ANNU REV LINGUIST","2333-9691","2333-9691","LINGUISTICS - SSCI","675","3.2","Q1","3.39","0"%,
"TESOL QUARTERLY","TESOL QUART","0039-8322","1545-7249","LINGUISTICS - SSCI","6,001","3.2","Q1","1.69","17.54"%,
"Neurobiology of Language","NEUROBIOL LANG","2641-4368","2641-4368","LINGUISTICS - ESCI","205","3.2","N/A","1.11","100"%,
"Inland Waters","INLAND WATERS","2044-2041","2044-205X","LIMNOLOGY - SCIE","1,216","3.1","Q1","0.93","22.05"%,
"WATER ENVIRONMENT RESEARCH","WATER ENVIRON RES","1061-4303","1554-7531","LIMNOLOGY - SCIE","5,231","3.1","Q1","0.52","4.32"%,
"Journal of English for Academic Purposes","J ENGL ACAD PURP","1475-1585","1878-1497","LINGUISTICS - SSCI","2,244","3","Q1","2.2","11.35"%,
"Innovation in Language Learning and Teaching","INNOV LANG LEARN TEA","1750-1229","1750-1237","LINGUISTICS - SSCI","815","3","Q1","1.43","7.69"%,
"RELC Journal","RELC J","0033-6882","1745-526X","LINGUISTICS - SSCI","1,525","3","Q1","1.28","6.45"%,
"Language Assessment Quarterly","LANG ASSESS Q","1543-4303","1543-4311","LINGUISTICS - SSCI","1,207","2.9","Q1","1.38","6.98"%,
"International Journal of Bilingual Education and Bilingualism","INT J BILING EDUC BI","1367-0050","1747-7522","LINGUISTICS - SSCI","3,439","2.8","Q1","2.85","13.39"%,
"Language Testing in Asia","LANG TEST ASIA","N/A","2229-0443","LINGUISTICS - ESCI","413","2.8","N/A","1.71","100"%,
"RESEARCH ON LANGUAGE AND SOCIAL INTERACTION","RES LANG SOC INTERAC","0835-1813","1532-7973","LINGUISTICS - SSCI","1,883","2.7","Q1","1.52","30.65"%,
"FOREIGN LANGUAGE ANNALS","FOREIGN LANG ANN","0015-718X","1944-9720","LINGUISTICS - SSCI","2,226","2.7","Q1","1.36","5.88"%,
"LIMNOLOGY AND OCEANOGRAPHY-METHODS","LIMNOL OCEANOGR-METH","1541-5856","1541-5856","LIMNOLOGY - SCIE","3,896","2.7","Q2","0.84","46.45"%,
"Applied Linguistics Review","APPL LINGUIST REV","1868-6303","1868-6311","LINGUISTICS - SSCI","1,007","2.6","Q1","2.28","10.65"%,
"AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY","AM J SPEECH-LANG PAT","1058-0360","1558-9110","LINGUISTICS - SSCI","4,593","2.6","Q1","1.33","7.04"%,
"JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH","J SPEECH LANG HEAR R","1092-4388","1558-9102","LINGUISTICS - SSCI","12,118","2.6","Q1","1.23","10.85"%,
"ELT Journal","ELT J","0951-0893","1477-4526","LINGUISTICS - SSCI","2,415","2.5","Q1","1.63","6.71"%,
"ENGLISH FOR SPECIFIC PURPOSES","ENGL SPECIF PURP","0889-4906","1873-1937","LINGUISTICS - SSCI","2,267","2.5","Q1","1.55","9.73"%,
"Natural Language Engineering","NAT LANG ENG","1351-3249","1469-8110","LINGUISTICS - SSCI","1,256","2.5","Q1","1.48","35.25"%,
"BRAIN AND LANGUAGE","BRAIN LANG","0093-934X","1090-2155","LINGUISTICS - SSCI","6,977","2.5","Q1","1.04","11.63"%,
"Current Issues in Language Planning","CURR ISS LANG PLAN","1466-4208","1747-7506","LINGUISTICS - SSCI","740","2.4","Q1","1.78","21.7"%,
"SECOND LANGUAGE RESEARCH","SECOND LANG RES","0267-6583","1477-0326","LINGUISTICS - SSCI","1,640","2.4","Q1","1.43","17.88"%,
"LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS","LANG SPEECH HEAR SER","0161-1461","1558-9129","LINGUISTICS - SSCI","2,546","2.4","Q1","1.19","9.05"%,
"INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS","INT J LANG COMM DIS","1368-2822","1460-6984","LINGUISTICS - SSCI","3,507","2.4","Q1","1.15","30.13"%,
"AQUATIC SCIENCES","AQUAT SCI","1015-1621","1420-9055","LIMNOLOGY - SCIE","3,475","2.4","Q2","0.72","20.45"%,
"ITL-International Journal of Applied Linguistics","ITL-INT J APPL LING","0019-0829","1783-1490","LINGUISTICS - ESCI","234","2.3","N/A","2.09","6.67"%,
"JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT","J MULTILING MULTICUL","0143-4632","1747-7557","LINGUISTICS - SSCI","2,713","2.3","Q1","1.71","16.48"%,
"Multilingua-Journal of Cross-Cultural and Interlanguage Communication","MULTILINGUA","0167-8507","1613-3684","LINGUISTICS - SSCI","729","2.3","Q1","1.65","22.95"%,
"International Journal of Multilingualism","INT J MULTILING","1479-0718","1747-7530","LINGUISTICS - SSCI","1,578","2.3","Q1","1.64","16.22"%,
"Language Cognition and Neuroscience","LANG COGN NEUROSCI","2327-3798","2327-3801","LINGUISTICS - SSCI","1,873","2.3","Q1","0.8","29.33"%,
"Linguistic Landscape-An International Journal","LINGUIST LANDSC","2214-9953","2214-9961","LINGUISTICS - ESCI","556","2.3","N/A","0.5","5.13"%,
"JOURNAL OF CHILD LANGUAGE","J CHILD LANG","0305-0009","1469-7602","LINGUISTICS - SSCI","4,045","2.2","Q1","0.93","40.98"%,
"JOURNAL OF GREAT LAKES RESEARCH","J GREAT LAKES RES","0380-1330","0380-1330","LIMNOLOGY - SCIE","6,105","2.2","Q2","0.78","34.06"%,
"Linguistica Antverpiensia New Series-Themes in Translation Studies","LING ANTVERP NEW SER","2295-5739","2295-5739","LINGUISTICS - SSCI","211","2.2","Q1","0.64","0"%,
"LANGUAGE","LANGUAGE","0097-8507","1535-0665","LINGUISTICS - SSCI","4,921","2.1","Q1","1.78","0"%,
"Journal of Language and Sexuality","J LANG SEX","2211-3770","2211-3789","LINGUISTICS - ESCI","121","2.1","N/A","1.66","0"%,
"International Multilingual Research Journal","INT MULTILING RES J","1931-3152","1931-3160","LINGUISTICS - SSCI","488","2.1","Q1","1.35","8.45"%,
"JOURNAL OF FLUENCY DISORDERS","J FLUENCY DISORD","0094-730X","1873-801X","LINGUISTICS - SSCI","1,543","2.1","Q1","1.17","6.94"%,
"JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY","J LANG SOC PSYCHOL","0261-927X","1552-6526","LINGUISTICS - SSCI","2,407","2.1","Q1","0.91","15.75"%,
"APPLIED PSYCHOLINGUISTICS","APPL PSYCHOLINGUIST","0142-7164","1469-1817","LINGUISTICS - SSCI","3,296","2.1","Q1","0.9","40.24"%,
"Autism & Developmental Language Impairments","AUTISM DEV LANG IMP","2396-9415","2396-9415","LINGUISTICS - ESCI","298","2.1","N/A","0.85","91.78"%,
"JOURNAL OF PALEOLIMNOLOGY","J PALEOLIMNOL","0921-2728","1573-0417","LIMNOLOGY - SCIE","3,782","2.1","Q2","0.56","21.95"%,
"REGISTER Journal","REGIST J","1979-8903","2503-040X","LINGUISTICS - ESCI","75","2.1","N/A","0.56","100"%,
"Social Semiotics","SOC SEMIOT","1035-0330","1470-1219","LINGUISTICS - SSCI","1,094","2","Q2","1.95","18.65"%,
"Linguistic Typology","LINGUIST TYPOL","1430-0532","1613-415X","LINGUISTICS - SSCI","551","2","Q2","1.66","40.74"%,
"Language Awareness","LANG AWARE","0965-8416","1747-7565","LINGUISTICS - SSCI","862","2","Q2","1.61","15.22"%,
"Reading in a Foreign Language","READ FOREIGN LANG","1539-0578","1539-0578","LINGUISTICS - ESCI","817","2","N/A","0.98","2.13"%,
"JOURNAL OF PSYCHOLINGUISTIC RESEARCH","J PSYCHOLINGUIST RES","0090-6905","1573-6555","LINGUISTICS - SSCI","2,103","2","Q2","0.87","21.9"%,
"MIND & LANGUAGE","MIND LANG","0268-1064","1468-0017","LINGUISTICS - SSCI","1,824","2","Q2","0.86","24.87"%,
"JOURNAL OF NEUROLINGUISTICS","J NEUROLINGUIST","0911-6044","1873-8052","LINGUISTICS - SSCI","1,571","2","Q2","0.76","20.53"%,
"APHASIOLOGY","APHASIOLOGY","0268-7038","1464-5041","LINGUISTICS - SSCI","3,635","2","Q2","0.75","18.39"%,
"WATER AND ENVIRONMENT JOURNAL","WATER ENVIRON J","1747-6585","1747-6593","LIMNOLOGY - SCIE","1,707","2","Q2","0.46","7.69"%,
"JOURNAL OF PHONETICS","J PHONETICS","0095-4470","1095-8576","LINGUISTICS - SSCI","3,478","1.9","Q2","1.87","32.46"%,
"Interpreting","INTERPRETING","1384-6647","1569-982X","LINGUISTICS - SSCI","538","1.9","Q2","1.5","5.88"%,
"Language and Education","LANG EDUC-UK","0950-0782","1747-7581","LINGUISTICS - SSCI","1,418","1.9","Q2","1.45","19.85"%,
"Language and Intercultural Communication","LANG INTERCULT COMM","1470-8477","1747-759X","LINGUISTICS - SSCI","993","1.9","Q2","1.22","15.11"%,
"First Language","FIRST LANG","0142-7237","1740-2344","LINGUISTICS - SSCI","1,252","1.9","Q2","1.16","21.48"%,
"JOURNAL OF SOCIOLINGUISTICS","J SOCIOLING","1360-6441","1467-9841","LINGUISTICS - SSCI","1,617","1.9","Q2","0.95","21.57"%,
"Eurasian Journal of Applied Linguistics","EURASIAN J APPL LING","2149-1135","2149-1135","LINGUISTICS - ESCI","237","1.9","N/A","0.71","44.04"%,
"Language and Cognition","LANG COGN","1866-9808","1866-9859","LINGUISTICS - SSCI","561","1.8","Q2","1.39","61.29"%,
"Journal of Specialised Translation","J SPEC TRANSL","1740-357X","1740-357X","LINGUISTICS - SSCI","578","1.8","Q2","1.33","0"%,
"Asian-Pacific Journal of Second and Foreign Language Education","ASIAN-PAC J SEC FOR","N/A","2363-5169","LINGUISTICS - ESCI","219","1.8","N/A","0.85","100"%,
"International Journal of Speech-Language Pathology","INT J SPEECH-LANG PA","1754-9507","1754-9515","LINGUISTICS - SSCI","2,017","1.8","Q2","0.85","11.34"%,
"LANGUAGE AND SPEECH","LANG SPEECH","0023-8309","1756-6053","LINGUISTICS - SSCI","1,882","1.8","Q2","0.77","22.5"%,
"MARINE AND FRESHWATER RESEARCH","MAR FRESHWATER RES","1323-1650","1448-6059","LIMNOLOGY - SCIE","6,009","1.8","Q3","0.69","23.78"%,
"AQUATIC ECOLOGY","AQUAT ECOL","1386-2588","1573-5125","LIMNOLOGY - SCIE","2,253","1.8","Q3","0.62","12.96"%,
"Language Documentation & Conservation","LANG DOC CONSERV","1934-5275","1934-5275","LINGUISTICS - ESCI","405","1.8","N/A","0.56","0"%,
"Journal of Language Identity and Education","J LANG IDENTITY EDUC","1534-8458","1532-7701","LINGUISTICS - SSCI","1,046","1.7","Q2","1.17","7.39"%,
"COGNITIVE LINGUISTICS","COGN LINGUIST","0936-5907","1613-3641","LINGUISTICS - SSCI","1,569","1.7","Q2","1.07","34.78"%,
"JOURNAL OF COMMUNICATION DISORDERS","J COMMUN DISORD","0021-9924","1873-7994","LINGUISTICS - SSCI","2,643","1.7","Q2","0.94","13.92"%,
"LIMNOLOGICA","LIMNOLOGICA","0075-9511","1873-5851","LIMNOLOGY - SCIE","1,975","1.7","Q3","0.61","10.39"%,
"Corpus Linguistics and Linguistic Theory","CORPUS LINGUIST LING","1613-7027","1613-7035","LINGUISTICS - SSCI","445","1.6","Q2","1.75","21.69"%,
"JOURNAL OF PRAGMATICS","J PRAGMATICS","0378-2166","1879-1387","LINGUISTICS - SSCI","7,662","1.6","Q2","1.62","22.37"%,
"Language Policy","LANG POLICY-NETH","1568-4555","1573-1863","LINGUISTICS - SSCI","925","1.6","Q2","1.62","28.4"%,
"LINGUISTIC INQUIRY","LINGUIST INQ","0024-3892","1530-9150","LINGUISTICS - SSCI","3,132","1.6","Q2","1.39","7.78"%,
"Linguistics and Education","LINGUIST EDUC","0898-5898","1873-1864","LINGUISTICS - SSCI","1,376","1.6","Q2","1.31","15.94"%,
"International Journal of Applied Linguistics","INT J APPL LINGUIST","0802-6106","1473-4192","LINGUISTICS - SSCI","1,017","1.6","Q2","1.17","9.09"%,
"Asia-Pacific Language Variation","ASIA-PAC LANG VAR","2215-1354","2215-1362","LINGUISTICS - ESCI","52","1.6","N/A","1.1","0"%,
"World Englishes","WORLD ENGLISH","0883-2919","1467-971X","LINGUISTICS - SSCI","1,525","1.6","Q2","1.08","28.31"%,
"Asian Englishes","ASIAN ENGL","1348-8678","2331-2548","LINGUISTICS - ESCI","286","1.6","N/A","0.92","6.67"%,
"Bilingual Research Journal","BILING RES J","1523-5882","1523-5890","LINGUISTICS - ESCI","924","1.6","N/A","0.91","3.23"%,
"English Teaching and Learning","ENGL TEACH LEARN","1023-7267","2522-8560","LINGUISTICS - ESCI","228","1.6","N/A","0.71","4.55"%,
"Journal of Oceanology and Limnology","J OCEANOL LIMNOL","2096-5508","2523-3521","LIMNOLOGY - SCIE","1,387","1.6","Q3","0.5","0.18"%,
"LIMNOLOGY","LIMNOLOGY","1439-8621","1439-863X","LIMNOLOGY - SCIE","1,093","1.6","Q3","0.47","4.07"%,
"JOURNAL OF LIMNOLOGY","J LIMNOL","1129-5767","1723-8633","LIMNOLOGY - SCIE","1,338","1.6","Q3","0.44","98.68"%,
"SOUTH ATLANTIC QUARTERLY","S ATL Q","0038-2876","1527-8026","LITERARY REVIEWS - AHCI","1,347","1.5","N/A","10.08","0"%,
"International Journal of Bilingualism","INT J BILINGUAL","1367-0069","1756-6878","LINGUISTICS - SSCI","1,661","1.5","Q2","1.57","17.83"%,
"Laboratory Phonology","LAB PHONOL","1868-6346","1868-6354","LINGUISTICS - SSCI","445","1.5","Q2","1.34","96.77"%,
"IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING","IRAL-INT REV APPL LI","0019-042X","1613-4141","LINGUISTICS - SSCI","929","1.5","Q2","1.19","8.79"%,
"LANGUAGE IN SOCIETY","LANG SOC","0047-4045","1469-8013","LINGUISTICS - SSCI","2,479","1.5","Q2","1.17","38.79"%,
"Interpreter and Translator Trainer","INTERPRET TRANSL TRA","1750-399X","1757-0417","LINGUISTICS - SSCI","504","1.5","Q2","1.16","17.28"%,
"LANGUAGE & COMMUNICATION","LANG COMMUN","0271-5309","1873-3395","LINGUISTICS - SSCI","1,570","1.5","Q2","0.85","28.02"%,
"Language Learning and Development","LANG LEARN DEV","1547-5441","1547-3341","LINGUISTICS - SSCI","815","1.5","Q2","0.78","20.88"%,
"European Journal of Applied Linguistics","EUR J APPL LINGUIST","2192-9521","2192-953X","LINGUISTICS - ESCI","162","1.5","N/A","0.71","32.2"%,
"Interaction Studies","INTERACT STUD","1572-0373","1572-0381","LINGUISTICS - SSCI","705","1.5","Q2","0.69","6.82"%,
"International Journal of Legal Discourse","INT J LEGAL DISCOURS","2364-8821","2364-883X","LINGUISTICS - ESCI","76","1.5","N/A","0.63","11.9"%,
"Sign Language Studies","SIGN LANG STUD","0302-1475","1533-6263","LINGUISTICS - ESCI","721","1.5","N/A","0.61","0"%,
"LAKE AND RESERVOIR MANAGEMENT","LAKE RESERV MANAGE","1040-2381","2151-5530","LIMNOLOGY - SCIE","1,131","1.5","Q4","0.46","18.18"%,
"TOPICS IN LANGUAGE DISORDERS","TOP LANG DISORD","0271-8294","1550-3259","LINGUISTICS - SSCI","894","1.4","Q2","1.02","1.64"%,
"Journal of Quantitative Linguistics","J QUANT LINGUIST","0929-6174","1744-5035","LINGUISTICS - SSCI","400","1.4","Q2","0.87","7.94"%,
"LIMNETICA","LIMNETICA","0213-8409","1989-1806","LIMNOLOGY - SCIE","775","1.4","Q4","0.52","64.65"%,
"Linguistic Approaches to Bilingualism","LINGUIST APPROACH BI","1879-9264","1879-9272","LINGUISTICS - SSCI","701","1.3","Q2","1.74","2.94"%,
"Gender and Language","GENDER LANG","1747-6321","1747-633X","LINGUISTICS - SSCI","295","1.3","Q2","1.45","1.19"%,
"NATURAL LANGUAGE & LINGUISTIC THEORY","NAT LANG LINGUIST TH","0167-806X","1573-0859","LINGUISTICS - SSCI","1,747","1.3","Q2","1.23","38.14"%,
"Literacy","LITERACY","1741-4350","1741-4369","LINGUISTICS - SSCI","429","1.3","Q2","1.12","20.25"%,
"Journal of Language and Politics","J LANG POLIT","1569-2159","1569-9862","LINGUISTICS - SSCI","739","1.3","Q2","1.06","3.39"%,
"Perspectives-Studies in Translation Theory and Practice","PERSPECT STUD TRANSL","0907-676X","1747-6623","LINGUISTICS - SSCI","928","1.3","Q2","0.94","16.03"%,
"Phonology","PHONOLOGY","0952-6757","1469-8188","LINGUISTICS - SSCI","752","1.3","Q2","0.89","54.76"%,
"Language Teaching for Young Learners","LANG TEACH YOUNG LEA","2589-2053","2589-207X","LINGUISTICS - ESCI","49","1.3","N/A","0.83","16.67"%,
"JOURNAL OF FRESHWATER ECOLOGY","J FRESHWATER ECOL","0270-5060","2156-6941","LIMNOLOGY - SCIE","1,287","1.3","Q4","0.37","97.8"%,
"Investigaciones sobre Lectura","INVESTIG LECT","2340-8685","2340-8685","LINGUISTICS - ESCI","75","1.3","N/A","0.26","81.82"%,
"Traitement Automatique des Langues","TRAIT AUTOM LANG","1248-9433","1965-0906","LINGUISTICS - ESCI","80","1.3","N/A","0.26","0"%,
"Language Acquisition","LANG ACQUIS","1048-9223","1532-7817","LINGUISTICS - SSCI","930","1.2","Q2","1.28","18.57"%,
"Argumentation","ARGUMENTATION","0920-427X","1572-8374","LINGUISTICS - SSCI","688","1.2","Q2","0.99","33.73"%,
"Porta Linguarum","PORTA LINGUARUM","1697-7467","N/A","LINGUISTICS - SSCI","392","1.2","Q2","0.67","67.24"%,
"CLINICAL LINGUISTICS & PHONETICS","CLIN LINGUIST PHONET","0269-9206","1464-5076","LINGUISTICS - SSCI","1,918","1.2","Q2","0.64","12.75"%,
"Australian Review of Applied Linguistics","AUST REV APPL LINGUI","0155-0640","1833-7139","LINGUISTICS - ESCI","256","1.2","N/A","0.63","2.13"%,
"JOURNAL OF LINGUISTICS","J LINGUIST","0022-2267","1469-7742","LINGUISTICS - SSCI","964","1.1","Q3","1.4","42.27"%,
"Intercultural Pragmatics","INTERCULT PRAGMAT","1612-295X","1613-365X","LINGUISTICS - SSCI","564","1.1","Q3","1.25","21.88"%,
"Internet Pragmatics","INTERNET PRAGMAT","2542-3851","2542-386X","LINGUISTICS - ESCI","101","1.1","N/A","1.25","5.88"%,
"Natural Language Semantics","NAT LANG SEMANT","0925-854X","1572-865X","LINGUISTICS - SSCI","732","1.1","Q3","1.12","35"%,
"LANGUAGE SCIENCES","LANG SCI","0388-0001","1873-5746","LINGUISTICS - SSCI","1,103","1.1","Q3","1.11","20.63"%,
"LINGUISTICS AND PHILOSOPHY","LINGUIST PHILOS","0165-0157","1573-0549","LINGUISTICS - SSCI","1,753","1.1","Q3","1.06","33.96"%,
"LINGUISTICS","LINGUISTICS","0024-3949","1613-396X","LINGUISTICS - SSCI","1,713","1.1","Q3","0.99","54.73"%,
"METAPHOR AND SYMBOL","METAPHOR SYMBOL","1092-6488","1532-7868","LINGUISTICS - SSCI","775","1.1","Q3","0.98","14.29"%,
"LINGUA","LINGUA","0024-3841","1872-6135","LINGUISTICS - SSCI","2,832","1.1","Q3","0.93","11.96"%,
"Pragmatics","PRAGMATICS","1018-2101","2406-4238","LINGUISTICS - SSCI","966","1.1","Q3","0.92","1.37"%,
"International Journal of Learner Corpus Research","INT J LEARN CORPUS R","2215-1478","2215-1486","LINGUISTICS - ESCI","33","1.1","N/A","0.83","11.54"%,
"Linguistics Vanguard","LINGUIST VANGUARD","2199-174X","2199-174X","LINGUISTICS - SSCI","340","1.1","Q3","0.81","27.36"%,
"Semantics & Pragmatics","SEMANT PRAGMAT","1937-8912","1937-8912","LINGUISTICS - ESCI","534","1.1","N/A","0.81","93.75"%,
"Translation & Interpreting-The International Journal of Translation and Interpreting","TRANSL INTERPRET","1836-9324","1836-9324","LINGUISTICS - ESCI","286","1.1","N/A","0.46","92"%,
"International Journal of Corpus Linguistics","INT J CORPUS LINGUIS","1384-6655","1569-9811","LINGUISTICS - SSCI","931","1","Q3","1.15","11.86"%,
"Journal of Politeness Research-Language Behaviour Culture","J POLITENESS RES-LAN","1612-5681","1613-4877","LINGUISTICS - SSCI","499","1","Q3","1.11","4.44"%,
"English Today","ENGL TODAY","0266-0784","1474-0567","LINGUISTICS - SSCI","702","1","Q3","0.97","23.15"%,
"Language Variation and Change","LANG VAR CHANGE","0954-3945","1469-8021","LINGUISTICS - SSCI","846","1","Q3","0.96","41.03"%,
"Target-International Journal of Translation Studies","TARGET-NETH","0924-1884","1569-9986","LINGUISTICS - SSCI","657","1","Q3","0.95","8.47"%,
"Glossa-A Journal of General Linguistics","GLOSSA-UK","N/A","2397-1835","LINGUISTICS - SSCI","857","1","Q3","0.87","97.41"%,
"English Language & Linguistics","ENGL LANG LINGUIST","1360-6743","1469-4379","LINGUISTICS - SSCI","415","1","Q3","0.81","45.79"%,
"Corpus Pragmatics","CORPUS PRAGMATICS","2509-9507","2509-9515","LINGUISTICS - ESCI","75","1","N/A","0.8","37.5"%,
"Gesture","GESTURE","1568-1475","1569-9773","LINGUISTICS - SSCI","549","1","Q3","0.76","3.85"%,
"Child Language Teaching & Therapy","CHILD LANG TEACH THE","0265-6590","1477-0865","LINGUISTICS - SSCI","668","1","Q3","0.73","24.53"%,
"Translation Studies","TRANSL STUD","1478-1700","1751-2921","LINGUISTICS - SSCI","699","1","Q3","0.73","18.03"%,
"Journal of Second Language Studies","J SECOND LANG STUD","2542-3835","2542-3843","LINGUISTICS - ESCI","66","1","N/A","0.72","2.44"%,
"CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES","CAN MOD LANG REV","0008-4506","1710-1131","LINGUISTICS - SSCI","1,049","1","Q3","0.51","0"%,
"Papers in Language Testing and Assessment","PAP LANG TEST ASSESS","2201-0009","2201-0009","LINGUISTICS - ESCI","86","1","N/A","0.47","0"%,
"Fundamental and Applied Limnology","FUND APPL LIMNOL","1863-9135","1863-9135","LIMNOLOGY - SCIE","772","1","Q4","0.45","0"%,
"Language and Sociocultural Theory","LANG SOCIOCULT THEOR","2051-9699","2051-9702","LINGUISTICS - ESCI","98","1","N/A","0.42","0"%,
"ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY","ANN LIMNOL-INT J LIM","0003-4088","2100-000X","LIMNOLOGY - SCIE","859","1","Q4","0.3","7.27"%,
"VIAL-Vigo International Journal of Applied Linguistics","VIAL-VIGO INT J APPL","1697-0381","N/A","LINGUISTICS - SSCI","98","0.9","Q3","0.98","0"%,
"Journal of Semantics","J SEMANT","0167-5133","1477-4593","LINGUISTICS - SSCI","814","0.9","Q3","0.82","30.51"%,
"Languages","LANGUAGES-BASEL","N/A","2226-471X","LINGUISTICS - ESCI","515","0.9","N/A","0.76","99.48"%,
"Translation and Interpreting Studies","TRANSL INTERPRET STU","1932-2798","1876-2700","LINGUISTICS - SSCI","210","0.9","Q3","0.75","6.35"%,
"PHONETICA","PHONETICA","0031-8388","1423-0321","LINGUISTICS - SSCI","837","0.9","Q3","0.64","19.15"%,
"English Teaching-Practice and Critique","ENGL TEACH-PRACT CRI","1175-8708","1175-8708","LINGUISTICS - SSCI","404","0.9","Q3","0.62","0"%,
"Metaphor and the Social World","METAPHOR SOC WORLD","2210-4070","2210-4097","LINGUISTICS - ESCI","136","0.9","N/A","0.41","11.9"%,
"Digital Scholarship in the Humanities","DIGIT SCHOLARSH HUM","2055-7671","2055-768X","LINGUISTICS - SSCI","555","0.8","Q3","1.59","17.59"%,
