"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"China Agricultural Economic Review","CHINA AGR ECON REV","1756-137X","1756-1388","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,613","5.1","Q1","1.47","2.8"%,
"BIOSYSTEMS ENGINEERING","BIOSYST ENG","1537-5110","1537-5129","AGRICULTURAL ENGINEERING - SCIE","12,844","5.1","Q2","1.26","16.74"%,
"BIOSYSTEMS ENGINEERING","BIOSYST ENG","1537-5110","1537-5129","AGRICULTURE, MULTIDISCIPLINARY - SCIE","12,844","5.1","Q1","1.26","16.74"%,
"PLANT AND SOIL","PLANT SOIL","0032-079X","1573-5036","AGRONOMY - SCIE","47,131","4.9","Q1","1.27","19.34"%,
"Journal of Integrative Agriculture","J INTEGR AGR","2095-3119","2352-3425","AGRICULTURE, MULTIDISCIPLINARY - SCIE","10,480","4.8","Q1","1.53","99.41"%,
"Rice Science","RICE SCI","1672-6308","1876-4762","AGRONOMY - SCIE","2,116","4.8","Q1","1.03","97.74"%,
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","0889-048X","1572-8366","AGRICULTURE, MULTIDISCIPLINARY - SCIE","4,326","4.5","Q1","1.73","35.79"%,
"POULTRY SCIENCE","POULTRY SCI","0032-5791","1525-3171","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","36,922","4.4","Q1","1.84","99.38"%,
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AM J AGR ECON","0002-9092","1467-8276","AGRICULTURAL ECONOMICS & POLICY - SCIE","10,052","4.2","Q2","1.6","20.81"%,
"PEST MANAGEMENT SCIENCE","PEST MANAG SCI","1526-498X","1526-4998","AGRONOMY - SCIE","19,709","4.1","Q1","1.54","9.94"%,
"GENETICS SELECTION EVOLUTION","GENET SEL EVOL","0999-193X","1297-9686","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","4,435","4.1","Q1","1.49","99.58"%,
"AGRICULTURAL ECONOMICS","AGR ECON-BLACKWELL","0169-5150","1574-0862","AGRICULTURAL ECONOMICS & POLICY - SCIE","5,467","4.1","Q2","1.05","30"%,
"JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","J SCI FOOD AGR","0022-5142","1097-0010","AGRICULTURE, MULTIDISCIPLINARY - SCIE","38,617","4.1","Q1","0.9","4.57"%,
"AQUACULTURAL ENGINEERING","AQUACULT ENG","0144-8609","1873-5614","AGRICULTURAL ENGINEERING - SCIE","3,634","4","Q2","0.88","24.47"%,
"AQUACULTURE ECONOMICS & MANAGEMENT","AQUACULT ECON MANAG","1365-7305","1551-8663","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,126","3.9","Q2","1.36","16.13"%,
"Agricultural and Food Economics","AGR FOOD ECON","N/A","2193-7532","AGRICULTURAL ECONOMICS & POLICY - SCIE","725","3.9","Q2","1.17","100"%,
"CABI Agriculture & Bioscience","CABI AGR BIOSCI","N/A","2662-4044","AGRICULTURE, MULTIDISCIPLINARY - ESCI","269","3.9","N/A","0.89","100"%,
"Journal of Agriculture and Food Research","J AGR FOOD RES","2666-1543","2666-1543","AGRICULTURE, MULTIDISCIPLINARY - ESCI","1,188","3.8","N/A","0.93","87.19"%,
"Agronomy-Basel","AGRONOMY-BASEL","N/A","2073-4395","AGRONOMY - SCIE","27,200","3.7","Q1","1.04","99.37"%,
"ANIMAL BIOTECHNOLOGY","ANIM BIOTECHNOL","1049-5398","1532-2378","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","2,573","3.7","Q1","1.04","0.96"%,
"Frontiers of Agricultural Science and Engineering","FRONT AGRIC SCI ENG","2095-7505","2095-977X","AGRONOMY - ESCI","793","3.7","N/A","0.48","100"%,
"Animal Frontiers","ANIM FRONT","2160-6056","2160-6064","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,580","3.6","Q1","2.34","86.99"%,
"Animal","ANIMAL","1751-7311","1751-732X","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","12,580","3.6","Q1","1.57","97.49"%,
"Agriculture-Basel","AGRICULTURE-BASEL","N/A","2077-0472","AGRONOMY - SCIE","11,666","3.6","Q1","1.07","99.49"%,
"JOURNAL OF DAIRY SCIENCE","J DAIRY SCI","0022-0302","1525-3198","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","67,715","3.5","Q1","1.21","79.56"%,
"JOURNAL OF AGRONOMY AND CROP SCIENCE","J AGRON CROP SCI","0931-2250","1439-037X","AGRONOMY - SCIE","4,716","3.5","Q1","1.15","14.17"%,
"EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS","EUR REV AGRIC ECON","0165-1587","1464-3618","AGRICULTURAL ECONOMICS & POLICY - SCIE","2,352","3.4","Q2","1.28","25.15"%,
"JOURNAL OF AGRICULTURAL ECONOMICS","J AGR ECON","0021-857X","1477-9552","AGRICULTURAL ECONOMICS & POLICY - SCIE","2,941","3.4","Q2","1.18","40.74"%,
"International Journal of Agricultural Sustainability","INT J AGR SUSTAIN","1473-5903","1747-762X","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,805","3.4","Q1","0.77","40.51"%,
"JOURNAL OF ANIMAL SCIENCE","J ANIM SCI","0021-8812","1525-3163","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","33,920","3.3","Q1","1.21","23.92"%,
"British Food Journal","BRIT FOOD J","0007-070X","1758-4108","AGRICULTURAL ECONOMICS & POLICY - SCIE","8,961","3.3","Q3","0.91","11.93"%,
"ANIMAL FEED SCIENCE AND TECHNOLOGY","ANIM FEED SCI TECH","0377-8401","1873-2216","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","15,295","3.2","Q1","1.42","17.18"%,
"AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS","AUST J AGR RESOUR EC","1364-985X","1467-8489","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,528","3.2","Q3","0.98","16.79"%,
"Journal of Land Use Science","J LAND USE SCI","1747-423X","1747-4248","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,033","3.2","Q1","0.89","47.17"%,
"Agribusiness","AGRIBUSINESS","0742-4477","1520-6297","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,391","3.2","Q3","0.85","21.51"%,
"Journal of Agriculture Food Systems and Community Development","J AGRIC FOOD SYST CO","2152-0798","2152-0801","AGRONOMY - ESCI","1,021","3.2","N/A","0.5","98.65"%,
"MOLECULAR BREEDING","MOL BREEDING","1380-3743","1572-9788","AGRONOMY - SCIE","7,105","3.1","Q1","0.88","10"%,
"Gesunde Pflanzen","GESUNDE PFLANZ","0367-4223","1439-0345","AGRONOMY - SCIE","865","3.1","Q1","0.83","7.52"%,
"in silico Plants","IN SILICO PLANTS","N/A","2517-5025","AGRONOMY - ESCI","207","3.1","N/A","0.77","95.52"%,
"Animals","ANIMALS-BASEL","2076-2615","2076-2615","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","27,233","3","Q1","1.37","99.41"%,
"OUTLOOK ON AGRICULTURE","OUTLOOK AGR","0030-7270","2043-6866","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,116","3","Q1","1.06","42.06"%,
"IRRIGATION SCIENCE","IRRIGATION SCI","0342-7188","1432-1319","AGRONOMY - SCIE","3,173","3","Q1","0.98","15.22"%,
"Turkish Journal of Agriculture and Forestry","TURK J AGRIC FOR","1300-011X","1303-6173","AGRONOMY - SCIE","2,432","2.9","Q1","0.91","0"%,
"POTATO RESEARCH","POTATO RES","0014-3065","1871-4528","AGRONOMY - SCIE","1,531","2.9","Q1","0.83","25.57"%,
"Crop Protection","CROP PROT","0261-2194","1873-6904","AGRONOMY - SCIE","13,179","2.8","Q2","1","20.19"%,
"EuroChoices","EUROCHOICES","1478-0917","1746-692X","AGRICULTURAL ECONOMICS & POLICY - ESCI","385","2.8","N/A","0.68","43.84"%,
"AgriEngineering","AGRIENGINEERING","N/A","2624-7402","AGRICULTURAL ENGINEERING - ESCI","448","2.8","N/A","0.41","99.44"%,
"RENEWABLE AGRICULTURE AND FOOD SYSTEMS","RENEW AGR FOOD SYST","1742-1705","1742-1713","AGRICULTURE, MULTIDISCIPLINARY - SCIE","2,124","2.7","Q2","1.03","34.45"%,
"JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION","J ANIM PHYSIOL AN N","0931-2439","1439-0396","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","5,824","2.7","Q1","1.02","9.89"%,
"WORLDS POULTRY SCIENCE JOURNAL","WORLD POULTRY SCI J","0043-9339","1743-4777","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,698","2.7","Q1","0.87","5.63"%,
"PLANT PATHOLOGY","PLANT PATHOL","0032-0862","1365-3059","AGRONOMY - SCIE","9,030","2.7","Q2","0.71","15.69"%,
"JOURNAL OF ANIMAL BREEDING AND GENETICS","J ANIM BREED GENET","0931-2668","1439-0388","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","2,026","2.6","Q1","1.1","21.51"%,
"SCIENTIA AGRICOLA","SCI AGR","1678-992X","1678-992X","AGRICULTURE, MULTIDISCIPLINARY - SCIE","3,285","2.6","Q2","0.92","99.57"%,
"ANNALS OF APPLIED BIOLOGY","ANN APPL BIOL","0003-4746","1744-7348","AGRICULTURE, MULTIDISCIPLINARY - SCIE","6,187","2.6","Q2","0.78","12.82"%,
"Agroecology and Sustainable Food Systems","AGROECOL SUST FOOD","2168-3565","2168-3573","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,478","2.6","Q2","0.57","12.24"%,
"Agricultural & Environmental Letters","AGR ENV LETT","N/A","2471-9625","AGRICULTURE, MULTIDISCIPLINARY - SCIE","431","2.6","Q2","0.52","97.22"%,
"JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING","J IRRIG DRAIN ENG","0733-9437","1943-4774","AGRICULTURAL ENGINEERING - SCIE","4,242","2.6","Q2","0.35","2.71"%,
"Italian Journal of Animal Science","ITAL J ANIM SCI","1594-4077","1828-051X","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,909","2.5","Q2","1.02","97.2"%,
"International Journal of Plant Production","INT J PLANT PROD","1735-6814","1735-8043","AGRONOMY - SCIE","1,045","2.5","Q2","0.82","9.04"%,
"WEED SCIENCE","WEED SCI","0043-1745","1550-2759","AGRONOMY - SCIE","5,828","2.5","Q2","0.79","37.07"%,
"PLANT PRODUCTION SCIENCE","PLANT PROD SCI","1343-943X","1349-1008","AGRONOMY - SCIE","2,273","2.5","Q2","0.75","96.71"%,
"JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","J PLANT NUTR SOIL SC","1436-8730","1522-2624","AGRONOMY - SCIE","5,703","2.5","Q2","0.64","45.45"%,
"ACS Agricultural Science & Technology","ACS AGR SCI TECHNOL","N/A","2692-1952","AGRICULTURE, MULTIDISCIPLINARY - ESCI","293","2.5","N/A","0.53","3.2"%,
"NJAS-Impact in Agricultural and Life Sciences","NJAS-IMP AGR LIFE SC","N/A","2768-5241","AGRICULTURE, MULTIDISCIPLINARY - SCIE","20","2.4","Q2","0.82","100"%,
"ANIMAL GENETICS","ANIM GENET","0268-9146","1365-2052","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","4,346","2.4","Q2","0.81","12.93"%,
"Journal of Agribusiness in Developing and Emerging Economies","J AGRIBUS DEV EMERG","2044-0839","2044-0847","AGRICULTURAL ECONOMICS & POLICY - ESCI","783","2.4","N/A","0.79","3.57"%,
"PLANT SOIL AND ENVIRONMENT","PLANT SOIL ENVIRON","1214-1178","1805-9368","AGRONOMY - SCIE","3,231","2.4","Q2","0.78","98.74"%,
"GRASS AND FORAGE SCIENCE","GRASS FORAGE SCI","0142-5242","1365-2494","AGRONOMY - SCIE","2,715","2.4","Q2","0.74","19.01"%,
"Archives of Agronomy and Soil Science","ARCH AGRON SOIL SCI","0365-0340","1476-3567","AGRONOMY - SCIE","4,503","2.4","Q2","0.63","1.49"%,
"BREEDING SCIENCE","BREEDING SCI","1344-7610","1347-3735","AGRONOMY - SCIE","2,831","2.4","Q2","0.51","97.65"%,
"PHYTOPATHOLOGIA MEDITERRANEA","PHYTOPATHOL MEDITERR","0031-9465","1593-2095","AGRONOMY - SCIE","2,247","2.4","Q2","0.51","61.24"%,
"International Journal of Agricultural and Biological Engineering","INT J AGR BIOL ENG","1934-6344","1934-6352","AGRICULTURAL ENGINEERING - SCIE","3,416","2.4","Q2","0.33","93.24"%,
"APPLIED ANIMAL BEHAVIOUR SCIENCE","APPL ANIM BEHAV SCI","0168-1591","1872-9045","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","11,844","2.3","Q2","1.1","27.32"%,
"CROP SCIENCE","CROP SCI","0011-183X","1435-0653","AGRONOMY - SCIE","22,054","2.3","Q2","0.86","31.03"%,
"JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY","J ANIM SCI TECHNOL","2672-0191","2055-0391","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,160","2.3","Q2","0.71","95.79"%,
"Open Agriculture","OPEN AGRIC","2391-9531","2391-9531","AGRICULTURE, MULTIDISCIPLINARY - ESCI","1,046","2.3","N/A","0.57","97.1"%,
"Landbauforschung-Journal of Sustainable and Organic Agricultural Systems","LANDBAUFORSCHUNG-GER","0458-6859","2700-8711","AGRICULTURE, MULTIDISCIPLINARY - SCIE","170","2.3","Q2","0.45","0"%,
"Animal Bioscience","ANIM BIOSCI","2765-0189","2765-0235","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","639","2.2","Q2","1.18","99.25"%,
"Agricultural Economics-Zemedelska Ekonomika","AGR ECON-CZECH","0139-570X","1805-9295","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,121","2.2","Q3","1.05","98.09"%,
"ANIMAL REPRODUCTION SCIENCE","ANIM REPROD SCI","0378-4320","1873-2232","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","9,331","2.2","Q2","0.87","10.37"%,
"AGROFORESTRY SYSTEMS","AGROFOREST SYST","0167-4366","1572-9680","AGRONOMY - SCIE","5,678","2.2","Q2","0.85","12.89"%,
"Italian Journal of Agronomy","ITAL J AGRON","1125-4718","2039-6805","AGRONOMY - SCIE","915","2.2","Q2","0.67","99.07"%,
"International Agrophysics","INT AGROPHYS","0236-8722","2300-8725","AGRONOMY - SCIE","1,822","2.2","Q2","0.58","97.41"%,
"Asian Journal of Agriculture and Biology","ASIAN J AGR BIOL","2307-8553","2307-8553","AGRICULTURE, MULTIDISCIPLINARY - ESCI","430","2.2","N/A","0.48","98.72"%,
"Paddy and Water Environment","PADDY WATER ENVIRON","1611-2490","1611-2504","AGRICULTURAL ENGINEERING - SCIE","1,583","2.2","Q3","0.44","9.03"%,
"Paddy and Water Environment","PADDY WATER ENVIRON","1611-2490","1611-2504","AGRONOMY - SCIE","1,583","2.2","Q2","0.44","9.03"%,
"DOMESTIC ANIMAL ENDOCRINOLOGY","DOMEST ANIM ENDOCRIN","0739-7240","1879-0054","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","2,577","2.1","Q2","0.87","17.97"%,
"AGRONOMY JOURNAL","AGRON J","0002-1962","1435-0645","AGRONOMY - SCIE","19,667","2.1","Q2","0.78","24.76"%,
"JOURNAL OF DAIRY RESEARCH","J DAIRY RES","0022-0299","1469-7629","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,637","2.1","Q2","0.6","24.81"%,
"OCL-Oilseeds and Fats Crops and Lipids","OCL OILS FAT CROP LI","2272-6977","2257-6614","AGRONOMY - ESCI","1,117","2.1","N/A","0.53","98.14"%,
"Journal of Animal Behaviour and Biometeorology","J ANIM BEHAV BIOMETE","N/A","2318-1265","AGRICULTURE, DAIRY & ANIMAL SCIENCE - ESCI","306","2.1","N/A","0.52","99.14"%,
"ARCHIVES OF ANIMAL NUTRITION","ARCH ANIM NUTR","1745-039X","1477-2817","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,447","2","Q2","0.99","9.72"%,
"BRITISH POULTRY SCIENCE","BRIT POULTRY SCI","0007-1668","1466-1799","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","6,049","2","Q2","0.79","11.6"%,
"ANIMAL SCIENCE JOURNAL","ANIM SCI J","1344-3941","1740-0929","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,902","2","Q2","0.76","9.87"%,
"GENETIC RESOURCES AND CROP EVOLUTION","GENET RESOUR CROP EV","0925-9864","1573-5109","AGRONOMY - SCIE","5,150","2","Q2","0.56","9.93"%,
"Cogent Food & Agriculture","COGENT FOOD AGR","2331-1932","2331-1932","AGRICULTURE, MULTIDISCIPLINARY - SCIE","2,379","2","Q2","0.55","98.98"%,
"Journal of Plant Diseases and Protection","J PLANT DIS PROTECT","1861-3829","1861-3837","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,557","2","Q2","0.54","17.84"%,
"JOURNAL OF AGRICULTURAL SCIENCE","J AGR SCI-CAMBRIDGE","0021-8596","1469-5146","AGRICULTURE, MULTIDISCIPLINARY - SCIE","6,539","2","Q2","0.44","21.26"%,
"PLANT BREEDING","PLANT BREEDING","0179-9541","1439-0523","AGRONOMY - SCIE","4,517","2","Q2","0.44","14.24"%,
"Advances in Agriculture","ADV AGR","2356-654X","2314-7539","AGRONOMY - ESCI","324","2","N/A","0.4","98.61"%,
"Annals of Animal Science","ANN ANIM SCI","1642-3402","2300-8733","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,508","1.9","Q2","0.8","100"%,
"JOURNAL OF APPLIED POULTRY RESEARCH","J APPL POULTRY RES","1056-6171","1537-0437","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,474","1.9","Q2","0.76","100"%,
"Crop & Pasture Science","CROP PASTURE SCI","1836-0947","1836-5795","AGRICULTURE, MULTIDISCIPLINARY - SCIE","3,290","1.9","Q2","0.65","17.66"%,
"Journal of Agricultural and Applied Economics","J AGRIC APPL ECON","1074-0708","2056-7405","AGRICULTURAL ECONOMICS & POLICY - ESCI","1,069","1.9","N/A","0.64","99.06"%,
"EUPHYTICA","EUPHYTICA","0014-2336","1573-5060","AGRONOMY - SCIE","13,238","1.9","Q2","0.6","13.54"%,
"Sugar Tech","SUGAR TECH","0972-1525","0974-0740","AGRONOMY - SCIE","2,161","1.9","Q2","0.58","3.09"%,
"International Journal of Agronomy","INT J AGRON","1687-8159","1687-8167","AGRONOMY - ESCI","1,098","1.9","N/A","0.54","98.68"%,
"MYCOBIOLOGY","MYCOBIOLOGY","1229-8093","2092-9323","AGRONOMY - SCIE","1,821","1.9","Q2","0.51","96.51"%,
"IRRIGATION AND DRAINAGE","IRRIG DRAIN","1531-0353","1531-0361","AGRONOMY - SCIE","2,460","1.9","Q2","0.48","3.74"%,
"JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS","J AGR ENVIRON ETHIC","1187-7863","1573-322X","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,783","1.8","Q2","0.85","49.4"%,
"Livestock Science","LIVEST SCI","1871-1413","1878-0490","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","9,339","1.8","Q2","0.82","19.67"%,
"Archives Animal Breeding","ARCH ANIM BREED","0003-9438","2363-9822","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","608","1.8","Q2","0.78","98.61"%,
"JOURNAL OF REPRODUCTION AND DEVELOPMENT","J REPROD DEVELOP","0916-8818","1348-4400","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","2,516","1.8","Q2","0.75","97.25"%,
"SMALL RUMINANT RESEARCH","SMALL RUMINANT RES","0921-4488","1879-0941","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","7,870","1.8","Q2","0.72","10.15"%,
"NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH","NEW ZEAL J AGR RES","0028-8233","1175-8775","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,758","1.8","Q2","0.64","7.59"%,
"EUROPEAN JOURNAL OF PLANT PATHOLOGY","EUR J PLANT PATHOL","0929-1873","1573-8469","AGRONOMY - SCIE","8,730","1.8","Q3","0.63","13.19"%,
"International Journal of Wine Business Research","INT J WINE BUS RES","1751-1062","1751-1070","AGRONOMY - ESCI","768","1.8","N/A","0.58","3.49"%,
"AIMS Agriculture and Food","AIMS AGRIC FOOD","2471-2086","2471-2086","AGRICULTURE, MULTIDISCIPLINARY - ESCI","527","1.8","N/A","0.46","98.86"%,
"AIMS Agriculture and Food","AIMS AGRIC FOOD","2471-2086","2471-2086","AGRONOMY - ESCI","527","1.8","N/A","0.46","98.86"%,
"COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS","COMMUN SOIL SCI PLAN","0010-3624","1532-2416","AGRONOMY - SCIE","9,052","1.8","Q3","0.42","1.3"%,
"Journal of Agricultural Engineering","J AGRIC ENG-ITALY","1974-7071","2239-6268","AGRICULTURAL ENGINEERING - SCIE","843","1.8","Q3","0.2","98.11"%,
"TROPICAL ANIMAL HEALTH AND PRODUCTION","TROP ANIM HEALTH PRO","0049-4747","1573-7438","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","6,973","1.7","Q3","0.78","5.79"%,
"REPRODUCTION IN DOMESTIC ANIMALS","REPROD DOMEST ANIM","0936-6768","1439-0531","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","6,189","1.7","Q3","0.68","7.67"%,
"WEED RESEARCH","WEED RES","0043-1737","1365-3180","AGRONOMY - SCIE","3,111","1.7","Q3","0.56","14.18"%,
"Animal Reproduction","ANIM REPROD","1806-9614","1984-3143","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,118","1.7","Q3","0.54","90.91"%,
"Chilean Journal of Agricultural Research","CHIL J AGR RES","0718-5839","0718-5839","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,695","1.7","Q2","0.52","97.96"%,
