"Journal Data Filtered By:  Selected Categories: INSTRUMENTS & INSTRUMENTATION;INTEGRATIVE & COMPLEMENTARY MEDICINE;INTERNATIONAL RELATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Integrative Medicine Research","INTEGR MED RES","2213-4220","2213-4239","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,351","3.4","Q2","0.8","96.41"%,
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","INSTRUMENTS & INSTRUMENTATION - SCIE","18,511","3.4","Q2","0.59","99.49"%,
"International Studies Review","INT STUD REV","1521-9488","1468-2486","INTERNATIONAL RELATIONS - SSCI","1,892","3.3","Q1","1.8","21.47"%,
"International Theory","INT THEOR","1752-9719","1752-9727","INTERNATIONAL RELATIONS - SSCI","839","3.3","Q1","1.56","28.57"%,
"INFRARED PHYSICS & TECHNOLOGY","INFRARED PHYS TECHN","1350-4495","1879-0275","INSTRUMENTS & INSTRUMENTATION - SCIE","9,115","3.3","Q2","0.79","4.84"%,
"SECURITY DIALOGUE","SECUR DIALOGUE","0967-0106","1460-3640","INTERNATIONAL RELATIONS - SSCI","2,080","3.2","Q1","1.4","41.74"%,
"JOURNAL OF CONFLICT RESOLUTION","J CONFLICT RESOLUT","0022-0027","1552-8766","INTERNATIONAL RELATIONS - SSCI","6,671","3.1","Q1","1.46","19.46"%,
"REVIEW OF INTERNATIONAL STUDIES","REV INT STUD","0260-2105","1469-9044","INTERNATIONAL RELATIONS - SSCI","2,881","3","Q1","1.58","44.3"%,
"Complementary Therapies in Clinical Practice","COMPLEMENT THER CLIN","1744-3881","1873-6947","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,285","3","Q2","0.83","12.16"%,
"Journal of X-Ray Science and Technology","J X-RAY SCI TECHNOL","0895-3996","1095-9114","INSTRUMENTS & INSTRUMENTATION - SCIE","1,187","3","Q2","0.62","6.3"%,
"Journal of European Integration","J EUR INTEGR","0703-6337","1477-2280","INTERNATIONAL RELATIONS - SSCI","1,465","2.9","Q1","1.38","39.62"%,
"JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES","J JPN INT ECON","0889-1583","1095-8681","INTERNATIONAL RELATIONS - SSCI","980","2.9","Q1","1.12","27.84"%,
"Chinese Journal of Integrative Medicine","CHIN J INTEGR MED","1672-0415","1993-0402","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,513","2.9","Q2","0.74","0"%,
"INTEGRATIVE CANCER THERAPIES","INTEGR CANCER THER","1534-7354","1552-695X","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","3,326","2.9","Q2","0.67","92.41"%,
"Microfluidics and Nanofluidics","MICROFLUID NANOFLUID","1613-4982","1613-4990","INSTRUMENTS & INSTRUMENTATION - SCIE","5,598","2.8","Q2","0.65","11.86"%,
"IEEE Sensors Letters","IEEE SENSOR LETT","2475-1472","2475-1472","INSTRUMENTS & INSTRUMENTATION - ESCI","1,750","2.8","N/A","0.49","7.98"%,
"STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT","STUD COMP INT DEV","0039-3606","1936-6167","INTERNATIONAL RELATIONS - SSCI","1,312","2.7","Q1","1.19","26.92"%,
"PLANTA MEDICA","PLANTA MED","0032-0943","1439-0221","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","15,014","2.7","Q3","0.69","4.63"%,
"JOURNAL OF MICROELECTROMECHANICAL SYSTEMS","J MICROELECTROMECH S","1057-7157","1941-0158","INSTRUMENTS & INSTRUMENTATION - SCIE","7,201","2.7","Q2","0.6","22.33"%,
"Surface Topography-Metrology and Properties","SURF TOPOGR-METROL","2051-672X","2051-672X","INSTRUMENTS & INSTRUMENTATION - SCIE","1,857","2.7","Q2","0.55","5.26"%,
"INTERNATIONAL STUDIES QUARTERLY","INT STUD QUART","0020-8833","1468-2478","INTERNATIONAL RELATIONS - SSCI","5,681","2.6","Q1","1.33","19.59"%,
"JOURNAL OF GUIDANCE CONTROL AND DYNAMICS","J GUID CONTROL DYNAM","0731-5090","1533-3884","INSTRUMENTS & INSTRUMENTATION - SCIE","12,309","2.6","Q2","0.82","8.86"%,
"IET Control Theory and Applications","IET CONTROL THEORY A","1751-8644","1751-8652","INSTRUMENTS & INSTRUMENTATION - SCIE","8,257","2.6","Q2","0.64","37.9"%,
"JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE","J ALTERN COMPLEM MED","1075-5535","1557-7708","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","5,859","2.6","Q3","0.62","8.46"%,
"Actuators","ACTUATORS","N/A","2076-0825","INSTRUMENTS & INSTRUMENTATION - SCIE","2,235","2.6","Q2","0.6","99.42"%,
"Journal of Traditional Chinese Medicine","J TRADIT CHIN MED","0255-2922","1577-7014","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","2,924","2.6","Q3","0.4","0"%,
"Journal of Current Southeast Asian Affairs","J CURR SE ASIAN AFF","1868-1034","1868-4882","INTERNATIONAL RELATIONS - SSCI","395","2.5","Q2","1.33","92.86"%,
"Globalizations","GLOBALIZATIONS","1474-7731","1474-774X","INTERNATIONAL RELATIONS - SSCI","1,975","2.5","Q2","1.24","21.07"%,
"MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES","MILLENNIUM-J INT ST","0305-8298","1477-9021","INTERNATIONAL RELATIONS - SSCI","1,710","2.5","Q2","0.88","32.88"%,
"WORLD ECONOMY","WORLD ECON","0378-5920","1467-9701","INTERNATIONAL RELATIONS - SSCI","4,406","2.5","Q2","0.76","15.99"%,
"JOURNAL OF SYNCHROTRON RADIATION","J SYNCHROTRON RADIAT","0909-0495","1600-5775","INSTRUMENTS & INSTRUMENTATION - SCIE","7,684","2.5","Q3","0.68","61.86"%,
"European Journal of Integrative Medicine","EUR J INTEGR MED","1876-3820","1876-3839","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,985","2.5","Q3","0.67","12.22"%,
"Acupuncture in Medicine","ACUPUNCT MED","0964-5284","1759-9873","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,781","2.5","Q3","0.59","3.83"%,
"Quantitative InfraRed Thermography Journal","QUANT INFR THERM J","1768-6733","2116-7176","INSTRUMENTS & INSTRUMENTATION - SCIE","496","2.5","Q3","0.47","8.54"%,
"International Studies Perspectives","INT STUD PERSPECT","1528-3577","1528-3585","INTERNATIONAL RELATIONS - SSCI","962","2.4","Q2","1.28","10.98"%,
"International Political Sociology","INT POLIT SOCIOL","1749-5679","1749-5687","INTERNATIONAL RELATIONS - SSCI","1,193","2.4","Q2","1.26","34.62"%,
"TERRORISM AND POLITICAL VIOLENCE","TERROR POLIT VIOLENC","0954-6553","1556-1836","INTERNATIONAL RELATIONS - SSCI","2,516","2.4","Q2","1.25","15.63"%,
"MEASUREMENT SCIENCE and TECHNOLOGY","MEAS SCI TECHNOL","0957-0233","1361-6501","INSTRUMENTS & INSTRUMENTATION - SCIE","17,440","2.4","Q3","0.69","12.02"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","0886-9383","1099-128X","INSTRUMENTS & INSTRUMENTATION - SCIE","4,269","2.4","Q3","0.64","20.81"%,
"Journal of Ayurveda and Integrative Medicine","J AYURVEDA INTEGR ME","0975-9476","0976-2809","INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI","1,551","2.4","N/A","0.62","98.55"%,
"Explore-The Journal of Science and Healing","EXPLORE-NY","1550-8307","1878-7541","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,383","2.4","Q3","0.56","17.26"%,
"METROLOGIA","METROLOGIA","0026-1394","1681-7575","INSTRUMENTS & INSTRUMENTATION - SCIE","4,011","2.4","Q3","0.53","33.69"%,
"COMMON MARKET LAW REVIEW","COMMON MKT LAW REV","0165-0750","1875-8320","INTERNATIONAL RELATIONS - SSCI","1,318","2.3","Q2","1.54","0"%,
"International Peacekeeping","INT PEACEKEEPING","1353-3312","1743-906X","INTERNATIONAL RELATIONS - SSCI","874","2.3","Q2","1.08","31.91"%,
"Journal of Herbal Medicine","J HERB MED","2210-8033","2210-8041","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,344","2.3","Q3","0.71","3.18"%,
"Journal of Astronomical Telescopes Instruments and Systems","J ASTRON TELESC INST","2329-4124","2329-4221","INSTRUMENTS & INSTRUMENTATION - SCIE","1,981","2.3","Q3","0.7","42.46"%,
"JOURNAL OF MICROMECHANICS AND MICROENGINEERING","J MICROMECH MICROENG","0960-1317","1361-6439","INSTRUMENTS & INSTRUMENTATION - SCIE","9,903","2.3","Q3","0.45","9.24"%,
"JCMS-Journal of Common Market Studies","JCMS-J COMMON MARK S","0021-9886","1468-5965","INTERNATIONAL RELATIONS - SSCI","4,047","2.2","Q2","1.12","42.06"%,
"European Journal of International Security","EUR J INT SECUR","2057-5637","2057-5645","INTERNATIONAL RELATIONS - ESCI","291","2.2","N/A","1.02","57.32"%,
"Foreign Policy Analysis","FOREIGN POL ANAL-US","1743-8586","1743-8594","INTERNATIONAL RELATIONS - SSCI","991","2.2","Q2","1.02","17.89"%,
"FLOW MEASUREMENT AND INSTRUMENTATION","FLOW MEAS INSTRUM","0955-5986","1873-6998","INSTRUMENTS & INSTRUMENTATION - SCIE","3,539","2.2","Q3","0.58","10.74"%,
"HardwareX","HARDWAREX","N/A","2468-0672","INSTRUMENTS & INSTRUMENTATION - ESCI","649","2.2","N/A","0.55","92.55"%,
"INTERNATIONAL JOURNAL","INT J-TORONTO","0020-7020","2052-465X","INTERNATIONAL RELATIONS - SSCI","1,114","2.2","Q2","0.47","34.78"%,
"Sensing and Imaging","SENS IMAGING","1557-2064","1557-2072","INSTRUMENTS & INSTRUMENTATION - ESCI","535","2.2","N/A","0.47","6.11"%,
"PACIFIC REVIEW","PAC REV","0951-2748","1470-1332","INTERNATIONAL RELATIONS - SSCI","1,393","2.1","Q2","1.59","7.47"%,
"CONFLICT MANAGEMENT AND PEACE SCIENCE","CONFLICT MANAG PEACE","0738-8942","1549-9219","INTERNATIONAL RELATIONS - SSCI","1,461","2.1","Q2","0.96","18.4"%,
"IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE","IEEE INSTRU MEAS MAG","1094-6969","1941-0123","INSTRUMENTS & INSTRUMENTATION - SCIE","1,214","2.1","Q3","0.49","0"%,
"International Journal of Prognostics and Health Management","INT J PROGN HEALTH M","2153-2648","2153-2648","INSTRUMENTS & INSTRUMENTATION - ESCI","428","2.1","N/A","0.31","81.58"%,
"Chinese Journal of International Politics","CHIN J INT POLIT","1750-8916","1750-8924","INTERNATIONAL RELATIONS - SSCI","682","2","Q2","1.27","10"%,
"Cooperation and Conflict","COOP CONFL","0010-8367","1460-3691","INTERNATIONAL RELATIONS - SSCI","1,168","2","Q2","1.19","42"%,
"Journal of Intervention and Statebuilding","J INTERV STATEBUILD","1750-2977","1750-2985","INTERNATIONAL RELATIONS - SSCI","657","2","Q2","1.17","33.65"%,
"Studies in Conflict & Terrorism","STUD CONFL TERROR","1057-610X","1521-0731","INTERNATIONAL RELATIONS - SSCI","2,300","2","Q2","0.98","17.77"%,
"MEASUREMENT & CONTROL","MEAS CONTROL-UK","0020-2940","2051-8730","INSTRUMENTS & INSTRUMENTATION - SCIE","1,360","2","Q3","0.4","91.53"%,
"LATIN AMERICAN POLITICS AND SOCIETY","LAT AM POLIT SOC","1531-426X","1548-2456","INTERNATIONAL RELATIONS - SSCI","865","1.9","Q2","1.39","19.51"%,
"Global Policy","GLOB POLICY","1758-5880","1758-5899","INTERNATIONAL RELATIONS - SSCI","1,828","1.9","Q2","1.08","29.45"%,
"JOURNAL OF STRATEGIC STUDIES","J STRATEGIC STUD","0140-2390","1743-937X","INTERNATIONAL RELATIONS - SSCI","1,157","1.9","Q2","0.92","17.33"%,
"Journal of Human Rights","J HUM RIGHTS","1475-4835","1475-4843","INTERNATIONAL RELATIONS - SSCI","775","1.9","Q2","0.67","16.54"%,
"International Journal of Conflict and Violence","INT J CONFL VIOLENCE","1864-1385","1864-1385","INTERNATIONAL RELATIONS - SSCI","364","1.9","Q2","0.65","0"%,
"Journal of Sensors","J SENSORS","1687-725X","1687-7268","INSTRUMENTS & INSTRUMENTATION - SCIE","5,552","1.9","Q3","0.44","99.05"%,
"SECURITY STUDIES","SECUR STUD","0963-6412","1556-1852","INTERNATIONAL RELATIONS - SSCI","1,484","1.8","Q2","1.11","14.77"%,
"Politics","POLITICS-OXFORD","0263-3957","1467-9256","INTERNATIONAL RELATIONS - SSCI","1,075","1.8","Q2","1.04","40.38"%,
"Business and Politics","BUS POLIT","N/A","1469-3569","INTERNATIONAL RELATIONS - SSCI","720","1.8","Q2","0.99","33.33"%,
"British Journal of Politics & International Relations","BRIT J POLIT INT REL","1369-1481","1467-856X","INTERNATIONAL RELATIONS - SSCI","1,444","1.8","Q2","0.86","45.51"%,
"TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL","T I MEAS CONTROL","0142-3312","1477-0369","INSTRUMENTS & INSTRUMENTATION - SCIE","3,629","1.8","Q3","0.42","1.05"%,
"Complementary Medicine Research","COMPLEMENT MED RES","2504-2092","2504-2106","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","333","1.8","Q4","0.39","17.65"%,
"WASHINGTON QUARTERLY","WASH QUART","0163-660X","1530-9177","INTERNATIONAL RELATIONS - SSCI","900","1.7","Q3","1.45","10.26"%,
"Mediterranean Politics","MEDITERR POLIT","1362-9395","1743-9418","INTERNATIONAL RELATIONS - SSCI","698","1.7","Q3","1.28","16.91"%,
"Journal of International Relations and Development","J INT RELAT DEV","1408-6980","1581-1980","INTERNATIONAL RELATIONS - SSCI","739","1.7","Q3","0.93","0"%,
"International Spectator","INT SPECT","0393-2729","1751-9721","INTERNATIONAL RELATIONS - ESCI","650","1.7","N/A","0.84","30.91"%,
"REVIEW OF WORLD ECONOMICS","REV WORLD ECON","1610-2878","1610-2886","INTERNATIONAL RELATIONS - SSCI","1,274","1.7","Q3","0.68","31.5"%,
"Homeopathy","HOMEOPATHY","1475-4916","1476-4245","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","547","1.7","Q4","0.56","8.33"%,
"Advances in Integrative Medicine","ADV INTEGR MED","2212-9588","2212-9596","INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI","283","1.7","N/A","0.42","1.71"%,
"JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME","J DYN SYST-T ASME","0022-0434","1528-9028","INSTRUMENTS & INSTRUMENTATION - SCIE","4,926","1.7","Q3","0.37","0.91"%,
"Journal of Global Security Studies","J GLOB SECUR STUD","2057-3170","2057-3189","INTERNATIONAL RELATIONS - ESCI","503","1.6","N/A","1.29","15.56"%,
"European Security","EUR SECUR","0966-2839","1746-1545","INTERNATIONAL RELATIONS - SSCI","750","1.6","Q3","1.04","49.06"%,
"International Journal of Transitional Justice","INT J TRANSIT JUST","1752-7716","1752-7724","INTERNATIONAL RELATIONS - SSCI","826","1.6","Q3","1","19.79"%,
"Asia Europe Journal","ASIA EUR J","1610-2932","1612-1031","INTERNATIONAL RELATIONS - SSCI","492","1.6","Q3","0.86","18.28"%,
"International Relations","INT RELAT","0047-1178","1741-2862","INTERNATIONAL RELATIONS - SSCI","983","1.6","Q3","0.84","36.62"%,
"Critical Studies on Security","CRIT STUD SECUR","2162-4887","2162-4909","INTERNATIONAL RELATIONS - ESCI","266","1.6","N/A","0.72","36.51"%,
"Global Society","GLOB SOC","1360-0826","1469-798X","INTERNATIONAL RELATIONS - ESCI","644","1.6","N/A","0.58","36.11"%,
"International Journal of Yoga","INT J YOGA","0973-6131","2231-2714","INTEGRATIVE & COMPLEMENTARY MEDICINE - ESCI","656","1.6","N/A","0.41","90.57"%,
"REVIEW OF SCIENTIFIC INSTRUMENTS","REV SCI INSTRUM","0034-6748","1089-7623","INSTRUMENTS & INSTRUMENTATION - SCIE","34,005","1.6","Q3","0.4","21.3"%,
"Sensor Review","SENSOR REV","0260-2288","1758-6828","INSTRUMENTS & INSTRUMENTATION - SCIE","1,347","1.6","Q3","0.37","5.59"%,
"INSTRUMENTATION SCIENCE & TECHNOLOGY","INSTRUM SCI TECHNOL","1073-9149","1525-6030","INSTRUMENTS & INSTRUMENTATION - SCIE","730","1.6","Q3","0.35","1.7"%,
"Human Rights Law Review","HUM RIGHTS LAW REV","1461-7781","1744-1021","INTERNATIONAL RELATIONS - SSCI","692","1.5","Q3","1.2","27.1"%,
"Global Discourse","GLOB DISCOURSE","2326-9995","2043-7897","INTERNATIONAL RELATIONS - ESCI","385","1.5","N/A","1.1","14.89"%,
"AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS","AUST J INT AFF","1035-7718","1465-332X","INTERNATIONAL RELATIONS - SSCI","650","1.5","Q3","0.71","7.3"%,
"JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","J RES NATL INST STAN","1044-677X","2165-7254","INSTRUMENTS & INSTRUMENTATION - SCIE","1,936","1.5","Q4","0.34","92.22"%,
"ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE","ALTERN THER HEALTH M","1078-6791","1078-6791","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE","1,417","1.5","Q4","0.33","0"%,
"International Relations of the Asia-Pacific","INT RELAT ASIA-PAC","1470-482X","1470-4838","INTERNATIONAL RELATIONS - SSCI","581","1.4","Q3","1.14","7.69"%,
