"Journal Data Filtered By:  Selected Categories: MATHEMATICS, APPLIED;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Communications in Nonlinear Science and Numerical Simulation","COMMUN NONLINEAR SCI","1007-5704","1878-7274","MATHEMATICS, APPLIED - SCIE","15,717","3.9","Q1","1.55","10.55"%,
"Communications in Nonlinear Science and Numerical Simulation","COMMUN NONLINEAR SCI","1007-5704","1878-7274","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","15,717","3.9","Q1","1.55","10.55"%,
"INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL","INT J ROBUST NONLIN","1049-8923","1099-1239","MATHEMATICS, APPLIED - SCIE","12,740","3.9","Q1","1.19","4.41"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","0169-7439","1873-3239","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","11,921","3.9","Q1","1.06","13.77"%,
"TWMS Journal of Pure and Applied Mathematics","TWMS J PURE APPL MAT","2076-2585","2219-1259","MATHEMATICS, APPLIED - SCIE","325","3.8","Q1","1.81","3.57"%,
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","0027-3171","1532-7906","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","10,048","3.8","Q1","1.71","12.96"%,
"RISK ANALYSIS","RISK ANAL","0272-4332","1539-6924","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","12,530","3.8","Q1","1.24","22.85"%,
"ENVIRONMENTAL AND ECOLOGICAL STATISTICS","ENVIRON ECOL STAT","1352-8505","1573-3009","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,204","3.8","Q1","1.11","14.02"%,
"Applied Mathematics Letters","APPL MATH LETT","0893-9659","1873-5452","MATHEMATICS, APPLIED - SCIE","11,617","3.7","Q1","2.27","5.21"%,
"SIAM Journal on Mathematics of Data Science","SIAM J MATH DATA SCI","N/A","2577-0187","MATHEMATICS, APPLIED - SCIE","523","3.6","Q1","1.94","94.19"%,
"EPJ Data Science","EPJ DATA SCI","N/A","2193-1127","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,394","3.6","Q1","1.34","99.34"%,
"MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES","MATH MOD METH APPL S","0218-2025","1793-6314","MATHEMATICS, APPLIED - SCIE","4,613","3.5","Q1","1.85","10.41"%,
"ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS","ENG ANAL BOUND ELEM","0955-7997","1873-197X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","7,026","3.3","Q1","1.09","3.47"%,
"Computational Particle Mechanics","COMPUT PART MECH","2196-4378","2196-4386","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,285","3.3","Q1","0.86","20.22"%,
"Applied Mathematics and Nonlinear Sciences","APPL MATH NONLIN SCI","N/A","2444-8656","MATHEMATICS, APPLIED - ESCI","1,839","3.1","N/A","1.68","98.92"%,
"SIAM JOURNAL ON OPTIMIZATION","SIAM J OPTIMIZ","1052-6234","1095-7189","MATHEMATICS, APPLIED - SCIE","10,428","3.1","Q1","1.51","1.4"%,
"SIAM JOURNAL ON SCIENTIFIC COMPUTING","SIAM J SCI COMPUT","1064-8275","1095-7197","MATHEMATICS, APPLIED - SCIE","16,575","3.1","Q1","1.47","2.62"%,
"FINITE ELEMENTS IN ANALYSIS AND DESIGN","FINITE ELEM ANAL DES","0168-874X","1872-6925","MATHEMATICS, APPLIED - SCIE","4,760","3.1","Q1","1.03","26.04"%,
"INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION","INT J MODEL SIMUL","0228-6203","1925-7082","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI","759","3.1","N/A","0.99","0"%,
"Journal of Numerical Mathematics","J NUMER MATH","1570-2820","1569-3953","MATHEMATICS, APPLIED - SCIE","691","3","Q1","2.12","4.35"%,
"COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS","COMMUN PUR APPL MATH","0010-3640","1097-0312","MATHEMATICS, APPLIED - SCIE","11,209","3","Q1","1.98","14.5"%,
"Fractional Calculus and Applied Analysis","FRACT CALC APPL ANAL","1311-0454","1314-2224","MATHEMATICS, APPLIED - SCIE","2,964","3","Q1","1.7","12.24"%,
"Fractional Calculus and Applied Analysis","FRACT CALC APPL ANAL","1311-0454","1314-2224","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,964","3","Q1","1.7","12.24"%,
"FOUNDATIONS OF COMPUTATIONAL MATHEMATICS","FOUND COMPUT MATH","1615-3375","1615-3383","MATHEMATICS, APPLIED - SCIE","2,330","3","Q1","1.61","45.25"%,
"JOURNAL OF NONLINEAR SCIENCE","J NONLINEAR SCI","0938-8974","1432-1467","MATHEMATICS, APPLIED - SCIE","2,672","3","Q1","1.16","29.05"%,
"JOURNAL OF CRYPTOLOGY","J CRYPTOL","0933-2790","1432-1378","MATHEMATICS, APPLIED - SCIE","2,307","3","Q1","0.88","19.13"%,
"PSYCHOMETRIKA","PSYCHOMETRIKA","0033-3123","1860-0980","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","14,537","3","Q1","0.88","40"%,
"Journal of Nonlinear and Variational Analysis","J NONLINEAR VAR ANAL","2560-6921","2560-6778","MATHEMATICS, APPLIED - SCIE","359","2.9","Q1","1.87","0"%,
"COMPUTERS & MATHEMATICS WITH APPLICATIONS","COMPUT MATH APPL","0898-1221","1873-7668","MATHEMATICS, APPLIED - SCIE","19,672","2.9","Q1","1.75","12.48"%,
"MATHEMATICAL METHODS IN THE APPLIED SCIENCES","MATH METHOD APPL SCI","0170-4214","1099-1476","MATHEMATICS, APPLIED - SCIE","12,806","2.9","Q1","1.49","3.61"%,
"CHAOS","CHAOS","1054-1500","1089-7682","MATHEMATICS, APPLIED - SCIE","13,096","2.9","Q1","1.47","14.14"%,
"SIAM JOURNAL ON NUMERICAL ANALYSIS","SIAM J NUMER ANAL","0036-1429","1095-7170","MATHEMATICS, APPLIED - SCIE","14,014","2.9","Q1","1.47","0.56"%,
"Journal of Mathematical Inequalities","J MATH INEQUAL","1846-579X","1846-579X","MATHEMATICS, APPLIED - SCIE","1,581","2.9","Q1","1.36","99.02"%,
"INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING","INT J NUMER METH ENG","0029-5981","1097-0207","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","22,342","2.9","Q2","0.93","19.12"%,
"Grey Systems-Theory and Application","GREY SYST","2043-9377","2043-9385","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","889","2.9","Q2","0.82","0.77"%,
"INFORMATICA","INFORMATICA-LITHUAN","0868-4952","1822-8844","MATHEMATICS, APPLIED - SCIE","1,115","2.9","Q1","0.72","85.45"%,
"Applied Numerical Mathematics","APPL NUMER MATH","0168-9274","1873-5460","MATHEMATICS, APPLIED - SCIE","6,110","2.8","Q1","1.5","9.6"%,
"STUDIES IN APPLIED MATHEMATICS","STUD APPL MATH","0022-2526","1467-9590","MATHEMATICS, APPLIED - SCIE","2,433","2.7","Q1","1.23","12.71"%,
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","ACM T MATH SOFTWARE","0098-3500","1557-7295","MATHEMATICS, APPLIED - SCIE","5,103","2.7","Q1","1.18","0.81"%,
"MATHEMATICAL PROGRAMMING","MATH PROGRAM","0025-5610","1436-4646","MATHEMATICS, APPLIED - SCIE","14,099","2.7","Q1","1.04","28.52"%,
"EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT","EDUC PSYCHOL MEAS","0013-1644","1552-3888","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","12,211","2.7","Q2","0.96","13.47"%,
"Journal of Physics-Complexity","J PHYS-COMPLEXITY","N/A","2632-072X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI","339","2.7","N/A","0.88","97.5"%,
"JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY","J EUR MATH SOC","1435-9855","N/A","MATHEMATICS, APPLIED - SCIE","3,032","2.6","Q1","1.73","56.09"%,
"COMPUTATIONAL & APPLIED MATHEMATICS","COMPUT APPL MATH","2238-3603","1807-0302","MATHEMATICS, APPLIED - SCIE","3,793","2.6","Q1","1.34","2.75"%,
"BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","BRIT J MATH STAT PSY","0007-1102","2044-8317","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,759","2.6","Q2","0.85","17.12"%,
"Journal of Mathematics in Industry","J MATH IND","2190-5983","2190-5983","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI","238","2.6","N/A","0.76","100"%,
"Mathematical Geosciences","MATH GEOSCI","1874-8961","1874-8953","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,701","2.6","Q2","0.74","27.14"%,
"MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY","MATCH-COMMUN MATH CO","0340-6253","N/A","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,698","2.6","Q2","0.69","0"%,
"MATHEMATICS AND MECHANICS OF SOLIDS","MATH MECH SOLIDS","1081-2865","1741-3028","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,555","2.6","Q2","0.62","6.96"%,
"APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS","APPL COMPUT HARMON A","1063-5203","1096-603X","MATHEMATICS, APPLIED - SCIE","3,714","2.5","Q1","1.57","26.67"%,
"JOURNAL OF SCIENTIFIC COMPUTING","J SCI COMPUT","0885-7474","1573-7691","MATHEMATICS, APPLIED - SCIE","7,558","2.5","Q1","1.31","12.99"%,
"ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS","ARCH RATION MECH AN","0003-9527","1432-0673","MATHEMATICS, APPLIED - SCIE","11,719","2.5","Q1","0.96","26.02"%,
"JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS","J COMPUT APPL MATH","0377-0427","1879-1778","MATHEMATICS, APPLIED - SCIE","20,102","2.4","Q1","1.44","11.62"%,
"CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES","CMES-COMP MODEL ENG","1526-1492","1526-1506","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,837","2.4","Q2","0.75","98.99"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","0886-9383","1099-128X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","4,269","2.4","Q2","0.64","20.81"%,
"Forum of Mathematics Pi","FORUM MATH PI","2050-5086","2050-5086","MATHEMATICS, APPLIED - SCIE","294","2.3","Q1","1.92","98.15"%,
"JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES","J MATH PURE APPL","0021-7824","1776-3371","MATHEMATICS, APPLIED - SCIE","4,676","2.3","Q1","1.64","28.21"%,
"ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik","ZAMM-Z ANGEW MATH ME","0044-2267","1521-4001","MATHEMATICS, APPLIED - SCIE","4,138","2.3","Q1","0.74","6.64"%,
"Spatial Statistics","SPAT STAT-NETH","2211-6753","N/A","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,386","2.3","Q2","0.73","21.81"%,
"COMPLEXITY","COMPLEXITY","1076-2787","1099-0526","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","12,110","2.3","Q2","0.72","99.41"%,
"Foundations of Data Science","FOUND DATA SCI","N/A","2639-8001","MATHEMATICS, APPLIED - ESCI","132","2.3","N/A","0.71","96.88"%,
"Journal of Mathematical Neuroscience","J MATH NEUROSCI","2190-8567","2190-8567","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","307","2.3","Q2","0.5","100"%,
"AIMS Mathematics","AIMS MATH","N/A","2473-6988","MATHEMATICS, APPLIED - SCIE","4,504","2.2","Q1","1.71","98.64"%,
"Analysis and Applications","ANAL APPL","0219-5305","1793-6861","MATHEMATICS, APPLIED - SCIE","728","2.2","Q1","1.58","2.17"%,
"Journal of Applied Mathematics and Computing","J APPL MATH COMPUT","1598-5865","1865-2085","MATHEMATICS, APPLIED - SCIE","2,459","2.2","Q1","1.51","1.62"%,
"Analysis & PDE","ANAL PDE","1948-206X","N/A","MATHEMATICS, APPLIED - SCIE","1,412","2.2","Q1","1.49","0"%,
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","0973-5348","1760-6101","MATHEMATICS, APPLIED - SCIE","1,128","2.2","Q1","1.09","86.52"%,
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","0973-5348","1760-6101","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,128","2.2","Q2","1.09","86.52"%,
"OPTIMIZATION","OPTIMIZATION","0233-1934","1029-4945","MATHEMATICS, APPLIED - SCIE","3,430","2.2","Q1","0.77","1.69"%,
"Results in Mathematics","RESULTS MATH","1422-6383","1420-9012","MATHEMATICS, APPLIED - SCIE","2,639","2.2","Q1","0.77","21.02"%,
"SIAM JOURNAL ON CONTROL AND OPTIMIZATION","SIAM J CONTROL OPTIM","0363-0129","1095-7138","MATHEMATICS, APPLIED - SCIE","10,596","2.2","Q1","0.77","0.63"%,
"COMPUTATIONAL OPTIMIZATION AND APPLICATIONS","COMPUT OPTIM APPL","0926-6003","1573-2894","MATHEMATICS, APPLIED - SCIE","3,385","2.2","Q1","0.74","23.59"%,
"INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS","INT J BIFURCAT CHAOS","0218-1274","1793-6551","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","8,759","2.2","Q2","0.74","3.34"%,
"Computation","COMPUTATION","N/A","2079-3197","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI","1,193","2.2","N/A","0.71","99.36"%,
"OPTIMIZATION METHODS & SOFTWARE","OPTIM METHOD SOFTW","1055-6788","1029-4937","MATHEMATICS, APPLIED - SCIE","2,342","2.2","Q1","0.69","8.88"%,
"NONLINEAR PROCESSES IN GEOPHYSICS","NONLINEAR PROC GEOPH","1023-5809","1607-7946","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,276","2.2","Q2","0.67","100"%,
"INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY","INT J QUANTUM CHEM","0020-7608","1097-461X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","9,565","2.2","Q2","0.57","6.75"%,
"CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS","CALC VAR PARTIAL DIF","0944-2669","1432-0835","MATHEMATICS, APPLIED - SCIE","5,515","2.1","Q1","1.37","26.15"%,
"IMA JOURNAL OF NUMERICAL ANALYSIS","IMA J NUMER ANAL","0272-4979","1464-3642","MATHEMATICS, APPLIED - SCIE","3,486","2.1","Q1","1.29","6.14"%,
"NUMERICAL ALGORITHMS","NUMER ALGORITHMS","1017-1398","1572-9265","MATHEMATICS, APPLIED - SCIE","4,713","2.1","Q1","1.17","12.33"%,
"NUMERISCHE MATHEMATIK","NUMER MATH","0029-599X","0945-3245","MATHEMATICS, APPLIED - SCIE","7,861","2.1","Q1","1.07","42.46"%,
"SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS","SIAM J APPL DYN SYST","1536-0040","N/A","MATHEMATICS, APPLIED - SCIE","2,565","2.1","Q1","1.05","3.29"%,
"Computational Methods and Function Theory","COMPUT METH FUNCT TH","1617-9447","2195-3724","MATHEMATICS, APPLIED - SCIE","638","2.1","Q1","0.99","25.15"%,
"INVERSE PROBLEMS","INVERSE PROBL","0266-5611","1361-6420","MATHEMATICS, APPLIED - SCIE","7,925","2.1","Q1","0.97","21.09"%,
"OPTIMIZATION AND ENGINEERING","OPTIM ENG","1389-4420","1573-2924","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,591","2.1","Q2","0.67","30.49"%,
"Communications in Applied Mathematics and Computational Science","COMM APP MATH COM SC","1559-3940","2157-5452","MATHEMATICS, APPLIED - SCIE","478","2.1","Q1","0.64","0"%,
"International Journal for Numerical Methods in Biomedical Engineering","INT J NUMER METH BIO","2040-7939","2040-7947","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,455","2.1","Q2","0.64","16.46"%,
"SIAM Journal on Imaging Sciences","SIAM J IMAGING SCI","1936-4954","1936-4954","MATHEMATICS, APPLIED - SCIE","4,279","2.1","Q1","0.64","3.08"%,
"Journal of Complex Networks","J COMPLEX NETW","2051-1310","2051-1329","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,050","2.1","Q2","0.62","16.15"%,
"Journal of Systems Science & Complexity","J SYST SCI COMPLEX","1009-6124","1559-7067","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,624","2.1","Q2","0.62","0"%,
"Mathematical Sciences","MATH SCI","2008-1359","2251-7456","MATHEMATICS, APPLIED - SCIE","765","2","Q2","1.48","9.04"%,
"NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS","NONLINEAR ANAL-REAL","1468-1218","1878-5719","MATHEMATICS, APPLIED - SCIE","5,296","2","Q2","1.3","6.74"%,
"MATHEMATICS OF COMPUTATION","MATH COMPUT","0025-5718","1088-6842","MATHEMATICS, APPLIED - SCIE","9,981","2","Q2","1.13","75.07"%,
"Axioms","AXIOMS","N/A","2075-1680","MATHEMATICS, APPLIED - SCIE","2,032","2","Q2","1.11","93.79"%,
"ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK","Z ANGEW MATH PHYS","0044-2275","1420-9039","MATHEMATICS, APPLIED - SCIE","4,952","2","Q2","1.04","9.43"%,
"SIAM JOURNAL ON MATHEMATICAL ANALYSIS","SIAM J MATH ANAL","0036-1410","1095-7154","MATHEMATICS, APPLIED - SCIE","8,371","2","Q2","0.98","1"%,
"Results in Applied Mathematics","RESULTS APPL MATH","2590-0374","2590-0374","MATHEMATICS, APPLIED - ESCI","268","2","N/A","0.95","99.36"%,
"Nonlinear Analysis-Modelling and Control","NONLINEAR ANAL-MODEL","1392-5113","2335-8963","MATHEMATICS, APPLIED - SCIE","1,058","2","Q2","0.81","98.45"%,
"Nonlinear Analysis-Modelling and Control","NONLINEAR ANAL-MODEL","1392-5113","2335-8963","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,058","2","Q2","0.81","98.45"%,
"SIAM-ASA Journal on Uncertainty Quantification","SIAM-ASA J UNCERTAIN","2166-2525","2166-2525","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,004","2","Q2","0.72","3.03"%,
"Computational Economics","COMPUT ECON","0927-7099","1572-9974","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,850","2","Q2","0.55","14.77"%,
"JOURNAL OF CLASSIFICATION","J CLASSIF","0176-4268","1432-1343","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","2,612","2","Q2","0.55","19"%,
"JOURNAL OF MATHEMATICAL IMAGING AND VISION","J MATH IMAGING VIS","0924-9907","1573-7683","MATHEMATICS, APPLIED - SCIE","2,332","2","Q2","0.53","27.65"%,
"DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS","DISCRETE EVENT DYN S","0924-6703","1573-7594","MATHEMATICS, APPLIED - SCIE","742","2","Q2","0.44","21.43"%,
"Journal of Function Spaces","J FUNCT SPACE","2314-8896","2314-8888","MATHEMATICS, APPLIED - SCIE","2,292","1.9","Q2","1.4","99.16"%,
"COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS","COMMUN PART DIFF EQ","0360-5302","1532-4133","MATHEMATICS, APPLIED - SCIE","5,196","1.9","Q2","1.21","11.44"%,
"Communications in Number Theory and Physics","COMMUN NUMBER THEORY","1931-4523","1931-4531","MATHEMATICS, APPLIED - SCIE","525","1.9","Q2","1.13","0"%,
"EUROPEAN JOURNAL OF APPLIED MATHEMATICS","EUR J APPL MATH","0956-7925","1469-4425","MATHEMATICS, APPLIED - SCIE","1,237","1.9","Q2","1.04","18.87"%,
"ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE","ANN I H POINCARE-AN","0294-1449","1873-1430","MATHEMATICS, APPLIED - SCIE","3,706","1.9","Q2","1.03","42.28"%,
"SIAM JOURNAL ON APPLIED MATHEMATICS","SIAM J APPL MATH","0036-1399","1095-712X","MATHEMATICS, APPLIED - SCIE","7,840","1.9","Q2","0.98","0.99"%,
"ESAIM-Mathematical Modelling and Numerical Analysis","ESAIM-MATH MODEL NUM","2822-7840","2804-7214","MATHEMATICS, APPLIED - SCIE","2,784","1.9","Q2","0.92","53.72"%,
"Econometrics Journal","ECONOMET J","1368-4221","1368-423X","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE","1,848","1.9","Q2","0.79","14.68"%,
