"Journal Data Filtered By:  Selected Categories: MANAGEMENT;MARINE & FRESHWATER BIOLOGY;MATERIALS SCIENCE, BIOMATERIALS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Biofabrication","BIOFABRICATION","1758-5082","1758-5090","MATERIALS SCIENCE, BIOMATERIALS - SCIE","8,095","9","Q1","1.75","26.77"%,
"Journal of Industrial Integration and Management-Innovation and Entrepreneurship","J IND INTEGR MANAG","2424-8622","2424-8630","MANAGEMENT - ESCI","770","9","N/A","1.4","0"%,
"Academy of Management Perspectives","ACAD MANAGE PERSPECT","1558-9080","N/A","MANAGEMENT - SSCI","5,623","8.9","Q1","1.97","0"%,
"SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL","SUPPLY CHAIN MANAG","1359-8546","1758-6852","MANAGEMENT - SSCI","7,775","8.8","Q1","1.69","10.7"%,
"Tourism Management Perspectives","TOUR MANAG PERSPECT","2211-9736","2211-9744","MANAGEMENT - SSCI","6,336","8.7","Q1","1.91","9.66"%,
"VIEW","VIEW-CHINA","2688-3988","2688-268X","MATERIALS SCIENCE, BIOMATERIALS - ESCI","1,009","8.6","N/A","0.69","85.71"%,
"LONG RANGE PLANNING","LONG RANGE PLANN","0024-6301","1873-1872","MANAGEMENT - SSCI","10,188","8.5","Q1","2.06","22.09"%,
"Electronic Markets","ELECTRON MARK","1019-6781","1422-8890","MANAGEMENT - SSCI","2,986","8.5","Q1","1.52","53.74"%,
"Journal of Destination Marketing & Management","J DESTIN MARK MANAGE","2212-571X","2212-5752","MANAGEMENT - SSCI","4,848","8.4","Q1","2.07","9.43"%,
"International Journal of Bioprinting","INT J BIOPRINTING","2424-7723","2424-8002","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,324","8.4","Q1","1.17","94.74"%,
"Journal of Hospitality and Tourism Management","J HOSP TOUR MANAG","1447-6770","1839-5260","MANAGEMENT - SSCI","5,691","8.3","Q1","1.89","0.36"%,
"STRATEGIC MANAGEMENT JOURNAL","STRATEGIC MANAGE J","0143-2095","1097-0266","MANAGEMENT - SSCI","47,745","8.3","Q1","1.66","23.01"%,
"Materials Today Bio","MATER TODAY BIO","2590-0064","2590-0064","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,072","8.2","Q1","1.34","81.29"%,
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","1460-8545","1468-2370","MANAGEMENT - SSCI","6,676","8.1","Q1","1.34","37.23"%,
"INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT","INT J PROJ MANAG","0263-7863","1873-4634","MANAGEMENT - SSCI","13,602","8","Q1","1.83","25.27"%,
"INTERNATIONAL JOURNAL OF FORECASTING","INT J FORECASTING","0169-2070","1872-8200","MANAGEMENT - SSCI","9,203","7.9","Q1","1.79","12.37"%,
"Materials Science & Engineering C-Materials for Biological Applications","MAT SCI ENG C-MATER","0928-4931","1873-0191","MATERIALS SCIENCE, BIOMATERIALS - SCIE","60,478","7.9","Q1","1.37","7.34"%,
"JOURNAL OF OPERATIONS MANAGEMENT","J OPER MANAG","0272-6963","1873-1317","MANAGEMENT - SSCI","12,815","7.8","Q1","1.37","17.04"%,
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","0742-1222","1557-928X","MANAGEMENT - SSCI","9,097","7.7","Q1","1.65","12.4"%,
"Global Strategy Journal","GLOB STRATEG J","2042-5791","2042-5805","MANAGEMENT - SSCI","2,096","7.6","Q1","1.75","27.83"%,
"Journal of Manufacturing Technology Management","J MANUF TECHNOL MANA","1741-038X","1758-7786","MANAGEMENT - SSCI","4,606","7.6","Q1","1.45","12.97"%,
"LEADERSHIP QUARTERLY","LEADERSHIP QUART","1048-9843","1873-3409","MANAGEMENT - SSCI","14,193","7.5","Q1","1.89","7.8"%,
"International Journal of Logistics Management","INT J LOGIST MANAG","0957-4093","1758-6550","MANAGEMENT - SSCI","4,404","7.5","Q1","1.5","9.91"%,
"European Management Journal","EUR MANAG J","0263-2373","1873-5681","MANAGEMENT - SSCI","6,988","7.5","Q1","1.46","17.21"%,
"MIS QUARTERLY","MIS QUART","0276-7783","N/A","MANAGEMENT - SSCI","29,364","7.3","Q1","1.72","0.94"%,
"Journal of Competitiveness","J COMPETITIVENESS","1804-171X","1804-1728","MANAGEMENT - SSCI","1,174","7.3","Q1","1.44","98.33"%,
"RESEARCH POLICY","RES POLICY","0048-7333","1873-7625","MANAGEMENT - SSCI","33,851","7.2","Q1","1.98","32.44"%,
"Journal of Family Business Strategy","J FAM BUS STRATEG","1877-8585","1877-8593","MANAGEMENT - SSCI","2,263","7.2","Q1","1.5","20"%,
"International Small Business Journal-Researching Entrepreneurship","INT SMALL BUS J","0266-2426","1741-2870","MANAGEMENT - SSCI","5,069","7.1","Q1","1.27","35.56"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","0963-8687","1873-1198","MANAGEMENT - SSCI","3,517","7","Q1","2.22","30.19"%,
"Journal of Knowledge Management","J KNOWL MANAG","1367-3270","1758-7484","MANAGEMENT - SSCI","9,844","7","Q1","1.97","7.99"%,
"Journal of Materials Chemistry B","J MATER CHEM B","2050-750X","2050-7518","MATERIALS SCIENCE, BIOMATERIALS - SCIE","40,690","7","Q1","1","5.41"%,
"OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE","OMEGA-INT J MANAGE S","0305-0483","1873-5274","MANAGEMENT - SSCI","14,646","6.9","Q1","1.89","13.84"%,
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","0894-3796","1099-1379","MANAGEMENT - SSCI","20,364","6.8","Q2","1.58","21.28"%,
"INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT","INT J PHYS DISTR LOG","0960-0035","1758-664X","MANAGEMENT - SSCI","5,755","6.7","Q2","1.41","17.69"%,
"Regenerative Biomaterials","REGEN BIOMATER","2056-3418","2056-3426","MATERIALS SCIENCE, BIOMATERIALS - SCIE","2,242","6.7","Q1","0.92","98.76"%,
"HARMFUL ALGAE","HARMFUL ALGAE","1568-9883","1878-1470","MARINE & FRESHWATER BIOLOGY - SCIE","8,880","6.6","Q1","1.97","32.82"%,
"Journal of Management Science and Engineering","J MANAGE SCI ENG","2096-2320","2589-5532","MANAGEMENT - ESCI","503","6.6","N/A","1.72","94.05"%,
"HUMAN RESOURCE MANAGEMENT","HUM RESOUR MANAGE-US","0090-4848","1099-050X","MANAGEMENT - SSCI","6,462","6.6","Q2","1.48","22.58"%,
"International Journal of Logistics-Research and Applications","INT J LOGIST-RES APP","1367-5567","1469-848X","MANAGEMENT - SSCI","2,818","6.6","Q2","1.26","8.77"%,
"Biomaterials Science","BIOMATER SCI-UK","2047-4830","2047-4849","MATERIALS SCIENCE, BIOMATERIALS - SCIE","17,713","6.6","Q2","0.99","8.66"%,
"Journal of Organizational and End User Computing","J ORGAN END USER COM","1546-2234","1546-5012","MANAGEMENT - SSCI","1,362","6.5","Q2","1.74","88.27"%,
"Journal of Enterprise Information Management","J ENTERP INF MANAG","1741-0398","1758-7409","MANAGEMENT - SSCI","3,684","6.5","Q2","1.37","1.15"%,
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","0921-898X","1573-0913","MANAGEMENT - SSCI","13,522","6.4","Q2","1.78","39.15"%,
"Tissue Engineering Part B-Reviews","TISSUE ENG PART B-RE","1937-3368","1937-3376","MATERIALS SCIENCE, BIOMATERIALS - SCIE","4,846","6.4","Q2","1.03","9.82"%,
"Human Resource Development Review","HUM RESOUR DEV REV","1534-4843","1552-6712","MANAGEMENT - SSCI","2,090","6.4","Q2","0.85","3.45"%,
"Information and Organization","INFORM ORGAN-UK","1471-7727","1873-7919","MANAGEMENT - SSCI","1,389","6.3","Q2","1.76","6"%,
"M&SOM-Manufacturing & Service Operations Management","M&SOM-MANUF SERV OP","1523-4614","1526-5498","MANAGEMENT - SSCI","6,977","6.3","Q2","1.34","0"%,
"Academy of Management Discoveries","ACAD MANAG DISCOV","N/A","2168-1007","MANAGEMENT - SSCI","1,102","6.3","Q2","1.27","0"%,
"R & D MANAGEMENT","R&D MANAGE","0033-6807","1467-9310","MANAGEMENT - SSCI","5,087","6.3","Q2","1.21","40.85"%,
"Strategic Entrepreneurship Journal","STRATEG ENTREP J","1932-4391","1932-443X","MANAGEMENT - SSCI","3,574","6.3","Q2","1.17","20"%,
"HUMAN RESOURCE DEVELOPMENT INTERNATIONAL","HUM RESOUR DEV INT","1367-8868","1469-8374","MANAGEMENT - ESCI","1,808","6.3","N/A","0.97","8.87"%,
"REVIEWS IN FISH BIOLOGY AND FISHERIES","REV FISH BIOL FISHER","0960-3166","1573-5184","MARINE & FRESHWATER BIOLOGY - SCIE","4,690","6.2","Q1","1.39","32.24"%,
"JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY","J OCCUP ORGAN PSYCH","0963-1798","2044-8325","MANAGEMENT - SSCI","7,127","6.2","Q2","1.35","26.5"%,
"JOURNAL OF SMALL BUSINESS MANAGEMENT","J SMALL BUS MANAGE","0047-2778","1540-627X","MANAGEMENT - SSCI","7,391","6.2","Q2","1.34","15.47"%,
"Journal of Purchasing and Supply Management","J PURCH SUPPLY MANAG","1478-4092","1873-6505","MANAGEMENT - SSCI","2,784","6.1","Q2","1.63","17.98"%,
"SOCIO-ECONOMIC PLANNING SCIENCES","SOCIO-ECON PLAN SCI","0038-0121","1873-6041","MANAGEMENT - SSCI","4,641","6.1","Q2","1.53","7.41"%,
"Journal of International Management","J INT MANAG","1075-4253","1873-0620","MANAGEMENT - SSCI","3,055","6.1","Q2","1.51","14.37"%,
"Organizational Psychology Review","ORGAN PSYCHOL REV","2041-3866","2041-3874","MANAGEMENT - SSCI","1,006","6.1","Q2","1.22","19.67"%,
"Journal of Intellectual Capital","J INTELLECT CAP","1469-1930","1758-7468","MANAGEMENT - SSCI","4,268","6","Q2","1.28","9.55"%,
"Journal of Management Analytics","J MANAG ANAL","2327-0012","2327-0039","MANAGEMENT - SSCI","838","5.9","Q2","1.25","2.27"%,
"Service Business","SERV BUS","1862-8516","1862-8508","MANAGEMENT - SSCI","1,309","5.9","Q2","1.08","13.33"%,
"GENDER WORK AND ORGANIZATION","GENDER WORK ORGAN","0968-6673","1468-0432","MANAGEMENT - SSCI","4,816","5.8","Q2","1.86","28.21"%,
"Marine Pollution Bulletin","MAR POLLUT BULL","0025-326X","1879-3363","MARINE & FRESHWATER BIOLOGY - SCIE","61,210","5.8","Q1","1.51","15.15"%,
"European Research on Management and Business Economics","EUR RES MANAG BUS EC","2444-8834","2444-8842","MANAGEMENT - SSCI","878","5.8","Q2","1.44","81.48"%,
"Artificial Cells Nanomedicine and Biotechnology","ARTIF CELL NANOMED B","2169-1401","2169-141X","MATERIALS SCIENCE, BIOMATERIALS - SCIE","10,545","5.8","Q2","1.22","98.65"%,
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","0018-9391","1558-0040","MANAGEMENT - SSCI","8,470","5.8","Q2","1.17","6.31"%,
"COLLOIDS AND SURFACES B-BIOINTERFACES","COLLOID SURFACE B","0927-7765","1873-4367","MATERIALS SCIENCE, BIOMATERIALS - SCIE","42,388","5.8","Q2","1.12","7.59"%,
"NEW TECHNOLOGY WORK AND EMPLOYMENT","NEW TECH WORK EMPLOY","0268-1072","1468-005X","MANAGEMENT - SSCI","1,721","5.8","Q2","1.05","40.48"%,
"HUMAN RELATIONS","HUM RELAT","0018-7267","1741-282X","MANAGEMENT - SSCI","13,129","5.7","Q2","2.11","32.45"%,
"Marine Life Science & Technology","MAR LIFE SCI TECH","2096-6490","2662-1746","MARINE & FRESHWATER BIOLOGY - SCIE","693","5.7","Q1","1.25","31.06"%,
"Journal of Global Operations and Strategic Sourcing","J GLOB OPER STRATEG","2398-5364","2398-5364","MANAGEMENT - ESCI","503","5.7","N/A","0.95","8.51"%,
"ACS Biomaterials Science & Engineering","ACS BIOMATER SCI ENG","2373-9878","2373-9878","MATERIALS SCIENCE, BIOMATERIALS - SCIE","16,718","5.7","Q2","0.84","5"%,
"INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT","INT J HUM RESOUR MAN","0958-5192","1466-4399","MANAGEMENT - SSCI","13,411","5.6","Q2","1.3","13.63"%,
"Benchmarking-An International Journal","BENCHMARKING","1463-5771","1758-4094","MANAGEMENT - ESCI","5,195","5.6","N/A","1.21","1.35"%,
"Journal of Product and Brand Management","J PROD BRAND MANAG","1061-0421","2054-1643","MANAGEMENT - SSCI","4,730","5.6","Q2","1.19","4.43"%,
"BRITISH JOURNAL OF MANAGEMENT","BRIT J MANAGE","1045-3172","1467-8551","MANAGEMENT - SSCI","7,915","5.6","Q2","1.16","30.94"%,
"International Entrepreneurship and Management Journal","INT ENTREP MANAG J","1554-7191","1555-1938","MANAGEMENT - SSCI","4,184","5.6","Q2","1.15","24.36"%,
"JOURNAL OF INFORMATION TECHNOLOGY","J INF TECHNOL-UK","0268-3962","1466-4437","MANAGEMENT - SSCI","2,516","5.6","Q2","0.99","30.16"%,
"Journal of Nursing Management","J NURS MANAGE","0966-0429","1365-2834","MANAGEMENT - SSCI","8,500","5.5","Q2","1.77","80.76"%,
"Human Resource Management Journal","HUM RESOUR MANAG J","0954-5395","1748-8583","MANAGEMENT - SSCI","3,740","5.5","Q2","1.48","32.65"%,
"PERSONNEL PSYCHOLOGY","PERS PSYCHOL","0031-5826","1744-6570","MANAGEMENT - SSCI","10,926","5.5","Q2","1.33","16.81"%,
"Review of Managerial Science","REV MANAG SCI","1863-6683","1863-6691","MANAGEMENT - SSCI","2,479","5.5","Q2","1.2","39.87"%,
"INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH","INT J ENTREP BEHAV R","1355-2554","1758-6534","MANAGEMENT - SSCI","4,541","5.5","Q2","1.07","16.35"%,
"DECISION SCIENCES","DECISION SCI","0011-7315","1540-5915","MANAGEMENT - SSCI","5,430","5.5","Q2","0.94","7.43"%,
"ORGANIZATION STUDIES","ORGAN STUD","0170-8406","1741-3044","MANAGEMENT - SSCI","10,824","5.4","Q2","1.24","31.73"%,
"Asia Pacific Journal of Management","ASIA PAC J MANAG","0217-4561","1572-9958","MANAGEMENT - SSCI","4,744","5.4","Q2","1.23","14.17"%,
"MANAGEMENT SCIENCE","MANAGE SCI","0025-1909","1526-5501","MANAGEMENT - SSCI","51,695","5.4","Q2","1.19","0"%,
"ORGANIZATION & ENVIRONMENT","ORGAN ENVIRON","1086-0266","1552-7417","MANAGEMENT - SSCI","2,883","5.3","Q2","1.16","25.56"%,
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","CORP GOV-OXFORD","0964-8410","1467-8683","MANAGEMENT - SSCI","5,573","5.3","Q2","0.84","19.66"%,
"International Journal of Management Education","INT J MANAG EDUC-OXF","1472-8117","2352-3565","MANAGEMENT - SSCI","2,179","5.2","Q2","1.86","16.28"%,
"School Leadership & Management","SCH LEADERSH MANAG","1363-2434","1364-2626","MANAGEMENT - ESCI","1,156","5.2","N/A","1.33","15.19"%,
"European Journal of Innovation Management","EUR J INNOV MANAG","1460-1060","1758-7115","MANAGEMENT - SSCI","3,663","5.1","Q2","1.02","16.05"%,
"DENTAL MATERIALS","DENT MATER","0109-5641","1879-0097","MATERIALS SCIENCE, BIOMATERIALS - SCIE","19,304","5","Q2","1.59","14.52"%,
"Project Management Journal","PROJ MANAG J","8756-9728","1938-9507","MANAGEMENT - SSCI","3,166","5","Q2","1","20.33"%,
"Public Management Review","PUBLIC MANAG REV","1471-9037","1471-9045","MANAGEMENT - SSCI","6,243","4.9","Q2","1.42","27.08"%,
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","1047-7047","1526-5536","MANAGEMENT - SSCI","12,947","4.9","Q2","1.29","0"%,
"Strategic Organization","STRATEG ORGAN","1476-1270","1741-315X","MANAGEMENT - SSCI","2,518","4.9","Q2","0.99","25.35"%,
"LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL","LEADERSHIP ORG DEV J","0143-7739","1472-5347","MANAGEMENT - SSCI","3,908","4.9","Q2","0.97","4.74"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A","J BIOMED MATER RES A","1549-3296","1552-4965","MATERIALS SCIENCE, BIOMATERIALS - SCIE","19,115","4.9","Q2","0.77","10.03"%,
"Progress in Biomaterials","PROG BIOMATER","2194-0509","2194-0517","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,212","4.9","Q2","0.74","9.88"%,
"Academy of Management Learning & Education","ACAD MANAG LEARN EDU","1537-260X","N/A","MANAGEMENT - SSCI","3,419","4.8","Q2","1.79","0"%,
"GROUP & ORGANIZATION MANAGEMENT","GROUP ORGAN MANAGE","1059-6011","1552-3993","MANAGEMENT - SSCI","4,019","4.8","Q2","1.22","13.7"%,
"JOURNAL OF TECHNOLOGY TRANSFER","J TECHNOL TRANSFER","0892-9912","1573-7047","MANAGEMENT - SSCI","4,706","4.8","Q2","1","35.47"%,
"SYSTEM DYNAMICS REVIEW","SYST DYNAM REV","0883-7066","1099-1727","MANAGEMENT - SSCI","1,554","4.8","Q2","0.94","32.69"%,
"Journal of Leadership & Organizational Studies","J LEADERSH ORG STUD","1548-0518","1939-7089","MANAGEMENT - SSCI","2,553","4.8","Q2","0.93","17.78"%,
"Research in Transportation Business and Management","RES TRANSP BUS MANAG","2210-5395","2210-5409","MANAGEMENT - SSCI","2,402","4.8","Q2","0.9","13.78"%,
"JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT","J ENG TECHNOL MANAGE","0923-4748","1879-1719","MANAGEMENT - SSCI","1,789","4.8","Q2","0.88","15.66"%,
"Journal of Functional Biomaterials","J FUNCT BIOMATER","N/A","2079-4983","MATERIALS SCIENCE, BIOMATERIALS - SCIE","3,054","4.8","Q2","0.75","99.57"%,
"AUSTRALIAN JOURNAL OF MANAGEMENT","AUST J MANAGE","0312-8962","1327-2020","MANAGEMENT - SSCI","1,406","4.8","Q2","0.67","3.76"%,
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","MARINE & FRESHWATER BIOLOGY - SCIE","30,822","4.7","Q1","1.56","5.47"%,
"ACS Applied Bio Materials","ACS APPL BIO MATER","2576-6422","2576-6422","MATERIALS SCIENCE, BIOMATERIALS - ESCI","12,105","4.7","N/A","0.62","4.72"%,
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","0749-5978","1095-9920","MANAGEMENT - SSCI","17,069","4.6","Q3","1.37","19.91"%,
"International Journal of Accounting Information Systems","INT J ACCOUNT INF SY","1467-0895","1873-4723","MANAGEMENT - SSCI","1,140","4.6","Q3","1.26","17.46"%,
"MANAGEMENT DECISION","MANAGE DECIS","0025-1747","1758-6070","MANAGEMENT - SSCI","9,855","4.6","Q3","1.13","7.63"%,
"Management Accounting Research","MANAGE ACCOUNT RES","1044-5005","1096-1224","MANAGEMENT - SSCI","2,793","4.6","Q3","0.92","18.75"%,
"Journal of Service Theory and Practice","J SERV THEOR PRACT","2055-6225","2055-6225","MANAGEMENT - SSCI","1,272","4.6","Q3","0.86","11.32"%,
"MACROMOLECULAR BIOSCIENCE","MACROMOL BIOSCI","1616-5187","1616-5195","MATERIALS SCIENCE, BIOMATERIALS - SCIE","8,681","4.6","Q2","0.72","20.62"%,
"AQUACULTURE","AQUACULTURE","0044-8486","1873-5622","MARINE & FRESHWATER BIOLOGY - SCIE","57,034","4.5","Q1","1.63","12.08"%,
"AQUATIC TOXICOLOGY","AQUAT TOXICOL","0166-445X","1879-1514","MARINE & FRESHWATER BIOLOGY - SCIE","18,361","4.5","Q1","1.43","15.49"%,
"Sustainability Accounting Management and Policy Journal","SUSTAIN ACCOUNT MANA","2040-8021","2040-803X","MANAGEMENT - SSCI","1,627","4.5","Q3","0.95","7.23"%,
"Biomimetics","BIOMIMETICS-BASEL","N/A","2313-7673","MATERIALS SCIENCE, BIOMATERIALS - SCIE","1,258","4.5","Q2","0.76","100"%,
"INTERNATIONAL JOURNAL OF MANPOWER","INT J MANPOWER","0143-7720","1758-6577","MANAGEMENT - SSCI","3,012","4.4","Q3","1.17","7.67"%,
"Asia Pacific Management Review","ASIA PAC MANAG REV","1029-3132","1029-3132","MANAGEMENT - ESCI","930","4.4","N/A","0.95","92.5"%,
"International Journal of Retail & Distribution Management","INT J RETAIL DISTRIB","0959-0552","1758-6690","MANAGEMENT - SSCI","4,413","4.4","Q3","0.91","11.28"%,
"Journal of Marketing Management","J MARKET MANAG-UK","0267-257X","1472-1376","MANAGEMENT - SSCI","5,590","4.4","Q3","0.89","14.23"%,
"European Journal of Work and Organizational Psychology","EUR J WORK ORGAN PSY","1359-432X","1464-0643","MANAGEMENT - SSCI","5,853","4.3","Q3","1.07","25.11"%,
"MANAGEMENT INTERNATIONAL REVIEW","MANAGE INT REV","0938-8249","1861-8901","MANAGEMENT - SSCI","2,712","4.3","Q3","0.94","48.28"%,
"International Journal of Accounting and Information Management","INT J ACCOUNT INF MA","1834-7649","1758-9037","MANAGEMENT - ESCI","946","4.2","N/A","0.86","1.77"%,
