"Journal Data Filtered By:  Selected Categories: PHILOSOPHY;PHYSICS, APPLIED;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"PLASMA CHEMISTRY AND PLASMA PROCESSING","PLASMA CHEM PLASMA P","0272-4324","1572-8986","PHYSICS, APPLIED - SCIE","3,845","3.6","Q2","0.72","9.35"%,
"SUPERCONDUCTOR SCIENCE & TECHNOLOGY","SUPERCOND SCI TECH","0953-2048","1361-6668","PHYSICS, APPLIED - SCIE","9,782","3.6","Q2","0.62","21.12"%,
"PHILOSOPHICAL REVIEW","PHILOS REV","0031-8108","1558-1470","PHILOSOPHY - AHCI","3,423","3.5","N/A","5.88","0"%,
"Plasma Processes and Polymers","PLASMA PROCESS POLYM","1612-8850","1612-8869","PHYSICS, APPLIED - SCIE","5,024","3.5","Q2","0.74","19.85"%,
"NANOTECHNOLOGY","NANOTECHNOLOGY","0957-4484","1361-6528","PHYSICS, APPLIED - SCIE","46,579","3.5","Q2","0.63","6.48"%,
"Romanian Journal of Information Science and Technology","ROM J INF SCI TECH","1453-8245","1453-8245","PHYSICS, APPLIED - SCIE","392","3.5","Q2","0.45","0"%,
"JOURNAL OF PHYSICS D-APPLIED PHYSICS","J PHYS D APPL PHYS","0022-3727","1361-6463","PHYSICS, APPLIED - SCIE","49,985","3.4","Q2","0.66","9.4"%,
"Coatings","COATINGS","N/A","2079-6412","PHYSICS, APPLIED - SCIE","16,951","3.4","Q2","0.59","99.53"%,
"Materials","MATERIALS","N/A","1996-1944","PHYSICS, APPLIED - SCIE","104,643","3.4","Q2","0.59","99.44"%,
"Micromachines","MICROMACHINES-BASEL","N/A","2072-666X","PHYSICS, APPLIED - SCIE","18,511","3.4","Q2","0.59","99.49"%,
"ETHICS","ETHICS","0014-1704","1539-297X","PHILOSOPHY - AHCI","3,497","3.3","N/A","1.99","0"%,
"INFRARED PHYSICS & TECHNOLOGY","INFRARED PHYS TECHN","1350-4495","1879-0275","PHYSICS, APPLIED - SCIE","9,115","3.3","Q2","0.79","4.84"%,
"PHYSICAL CHEMISTRY CHEMICAL PHYSICS","PHYS CHEM CHEM PHYS","1463-9076","1463-9084","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","122,059","3.3","Q2","0.72","15.48"%,
"IEEE Transactions on Terahertz Science and Technology","IEEE T THZ SCI TECHN","2156-342X","2156-3446","PHYSICS, APPLIED - SCIE","3,110","3.2","Q2","0.95","13.73"%,
"Journal of Zhejiang University-SCIENCE A","J ZHEJIANG UNIV-SC A","1673-565X","1862-1775","PHYSICS, APPLIED - SCIE","2,619","3.2","Q2","0.72","0.97"%,
"ORGANIC ELECTRONICS","ORG ELECTRON","1566-1199","1878-5530","PHYSICS, APPLIED - SCIE","12,508","3.2","Q2","0.68","6.22"%,
"SOLID STATE NUCLEAR MAGNETIC RESONANCE","SOLID STATE NUCL MAG","0926-2040","1527-3326","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","1,459","3.2","Q2","0.64","22.5"%,
"JOURNAL OF APPLIED PHYSICS","J APPL PHYS","0021-8979","1089-7550","PHYSICS, APPLIED - SCIE","158,124","3.2","Q2","0.62","20.81"%,
"INTERNATIONAL JOURNAL OF PHOTOENERGY","INT J PHOTOENERGY","1110-662X","1687-529X","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","4,203","3.2","Q2","0.56","100"%,
"IEEE TRANSACTIONS ON ELECTRON DEVICES","IEEE T ELECTRON DEV","0018-9383","1557-9646","PHYSICS, APPLIED - SCIE","31,978","3.1","Q2","0.72","6.55"%,
"IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION","IEEE T DIELECT EL IN","1070-9878","1558-4135","PHYSICS, APPLIED - SCIE","14,102","3.1","Q2","0.62","0.73"%,
"Beilstein Journal of Nanotechnology","BEILSTEIN J NANOTECH","2190-4286","2190-4286","PHYSICS, APPLIED - SCIE","5,907","3.1","Q2","0.44","99.5"%,
"Journal of Advanced Dielectrics","J ADV DIELECTR","2010-135X","2010-1368","PHYSICS, APPLIED - ESCI","1,262","3.1","N/A","0.43","98.77"%,
"IEEE Journal of Photovoltaics","IEEE J PHOTOVOLT","2156-3381","2156-3403","PHYSICS, APPLIED - SCIE","7,096","3","Q2","0.67","18.11"%,
"MATERIALS LETTERS","MATER LETT","0167-577X","1873-4979","PHYSICS, APPLIED - SCIE","58,755","3","Q2","0.65","3.04"%,
"Journal of X-Ray Science and Technology","J X-RAY SCI TECHNOL","0895-3996","1095-9114","PHYSICS, APPLIED - SCIE","1,187","3","Q2","0.62","6.3"%,
"Nano Express","NANO EXPRESS","N/A","2632-959X","PHYSICS, APPLIED - ESCI","815","3","N/A","0.42","99.35"%,
"RADIATION PHYSICS AND CHEMISTRY","RADIAT PHYS CHEM","0969-806X","1879-0895","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","13,573","2.9","Q2","0.89","6.49"%,
"PHYSICAL REVIEW A","PHYS REV A","2469-9926","2469-9934","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","133,150","2.9","Q2","0.87","5.79"%,
"Electronics","ELECTRONICS-SWITZ","N/A","2079-9292","PHYSICS, APPLIED - SCIE","25,705","2.9","Q2","0.64","99.42"%,
"JOURNAL OF PHYSICAL CHEMISTRY A","J PHYS CHEM A","1089-5639","1520-5215","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","59,788","2.9","Q2","0.61","7.53"%,
"Journal of Infrared Millimeter and Terahertz Waves","J INFRARED MILLIM TE","1866-6892","1866-6906","PHYSICS, APPLIED - SCIE","2,376","2.9","Q2","0.6","21.69"%,
"CHEMPHYSCHEM","CHEMPHYSCHEM","1439-4235","1439-7641","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","15,846","2.9","Q2","0.58","18.35"%,
"JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A","J VAC SCI TECHNOL A","0734-2101","1520-8559","PHYSICS, APPLIED - SCIE","10,967","2.9","Q2","0.56","28.47"%,
"CHEMICAL PHYSICS LETTERS","CHEM PHYS LETT","0009-2614","1873-4448","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","47,319","2.8","Q2","0.58","5.39"%,
"Structural Dynamics-US","STRUCT DYNAM-US","N/A","2329-7778","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","1,110","2.8","Q2","0.57","91.82"%,
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS","J MATER SCI-MATER EL","0957-4522","1573-482X","PHYSICS, APPLIED - SCIE","39,063","2.8","Q2","0.54","1.35"%,
"Physica Status Solidi-Rapid Research Letters","PHYS STATUS SOLIDI-R","1862-6254","1862-6270","PHYSICS, APPLIED - SCIE","4,703","2.8","Q2","0.5","15.14"%,
"IEEE Sensors Letters","IEEE SENSOR LETT","2475-1472","2475-1472","PHYSICS, APPLIED - ESCI","1,750","2.8","N/A","0.49","7.98"%,
"Journal of Experimental Nanoscience","J EXP NANOSCI","1745-8080","1745-8099","PHYSICS, APPLIED - SCIE","1,995","2.8","Q2","0.43","97.92"%,
"JOURNAL OF MICROELECTROMECHANICAL SYSTEMS","J MICROELECTROMECH S","1057-7157","1941-0158","PHYSICS, APPLIED - SCIE","7,201","2.7","Q2","0.6","22.33"%,
"Photonics and Nanostructures-Fundamentals and Applications","PHOTONIC NANOSTRUCT","1569-4410","1569-4429","PHYSICS, APPLIED - SCIE","1,273","2.7","Q2","0.59","5.61"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","PHYSICS, APPLIED - SCIE","98,949","2.7","Q2","0.57","99.3"%,
"IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING","IEEE T SEMICONDUCT M","0894-6507","1558-2345","PHYSICS, APPLIED - SCIE","2,354","2.7","Q2","0.57","9.22"%,
"APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","APPL PHYS A-MATER","0947-8396","1432-0630","PHYSICS, APPLIED - SCIE","24,127","2.7","Q2","0.52","4.16"%,
"JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS","J NONLINEAR OPT PHYS","0218-8635","1793-6624","PHYSICS, APPLIED - SCIE","662","2.7","Q2","0.29","1.2"%,
"Journal of Critical Realism","J CRIT REALISM","1476-7430","1572-5138","PHILOSOPHY - ESCI","502","2.6","N/A","2.17","18"%,
"IEEE PHOTONICS TECHNOLOGY LETTERS","IEEE PHOTONIC TECH L","1041-1135","1941-0174","PHYSICS, APPLIED - SCIE","17,274","2.6","Q3","0.66","6.42"%,
"JOURNAL OF SYNCHROTRON RADIATION","J SYNCHROTRON RADIAT","0909-0495","1600-5775","PHYSICS, APPLIED - SCIE","7,684","2.5","Q3","0.68","61.86"%,
"IEEE JOURNAL OF QUANTUM ELECTRONICS","IEEE J QUANTUM ELECT","0018-9197","1558-1713","PHYSICS, APPLIED - SCIE","9,015","2.5","Q3","0.63","12.88"%,
"EPJ Photovoltaics","EPJ PHOTOVOLT","2105-0716","2105-0716","PHYSICS, APPLIED - ESCI","156","2.5","N/A","0.48","98.08"%,
"Quantitative InfraRed Thermography Journal","QUANT INFR THERM J","1768-6733","2116-7176","PHYSICS, APPLIED - SCIE","496","2.5","Q3","0.47","8.54"%,
"GRANULAR MATTER","GRANUL MATTER","1434-5021","1434-7636","PHYSICS, APPLIED - SCIE","3,747","2.4","Q3","0.54","21.26"%,
"IEEE Photonics Journal","IEEE PHOTONICS J","1943-0655","1943-0647","PHYSICS, APPLIED - SCIE","10,817","2.4","Q3","0.54","99.12"%,
"IEEE TRANSACTIONS ON NANOTECHNOLOGY","IEEE T NANOTECHNOL","1536-125X","1941-0085","PHYSICS, APPLIED - SCIE","4,281","2.4","Q3","0.53","10.14"%,
"METROLOGIA","METROLOGIA","0026-1394","1681-7575","PHYSICS, APPLIED - SCIE","4,011","2.4","Q3","0.53","33.69"%,
"Micro and Nano Engineering","MICRO NANO ENG","N/A","2590-0072","PHYSICS, APPLIED - ESCI","336","2.4","N/A","0.53","100"%,
"CURRENT APPLIED PHYSICS","CURR APPL PHYS","1567-1739","1878-1675","PHYSICS, APPLIED - SCIE","7,813","2.4","Q3","0.51","5.86"%,
"Phenomenology and the Cognitive Sciences","PHENOMENOL COGN SCI","1568-7759","1572-8676","PHILOSOPHY - AHCI","1,944","2.3","N/A","3.9","46.15"%,
"Constructivist Foundations","CONSTR FOUND","1782-348X","N/A","PHILOSOPHY - AHCI","283","2.3","N/A","2.52","0"%,
"Philosophy Psychiatry & Psychology","PHILOS PSYCHIATR PSY","1071-6076","1086-3303","PHILOSOPHY - ESCI","588","2.3","N/A","1.95","0"%,
"Applied Physics Express","APPL PHYS EXPRESS","1882-0778","1882-0786","PHYSICS, APPLIED - SCIE","10,896","2.3","Q3","0.56","11.64"%,
"CHEMICAL PHYSICS","CHEM PHYS","0301-0104","1873-4421","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","12,011","2.3","Q3","0.52","5.14"%,
"MICROELECTRONIC ENGINEERING","MICROELECTRON ENG","0167-9317","1873-5568","PHYSICS, APPLIED - SCIE","8,065","2.3","Q3","0.5","9.27"%,
"Journal of the Society for Information Display","J SOC INF DISPLAY","1071-0922","1938-3657","PHYSICS, APPLIED - SCIE","1,777","2.3","Q3","0.47","7.36"%,
"JOURNAL OF MICROMECHANICS AND MICROENGINEERING","J MICROMECH MICROENG","0960-1317","1361-6439","PHYSICS, APPLIED - SCIE","9,903","2.3","Q3","0.45","9.24"%,
"FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES","FULLER NANOTUB CAR N","1536-383X","1536-4046","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","2,285","2.3","Q3","0.33","0.44"%,
"JOURNAL OF MAGNETIC RESONANCE","J MAGN RESON","1090-7807","1096-0856","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","10,891","2.2","Q3","0.74","28.97"%,
"INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY","INT J QUANTUM CHEM","0020-7608","1097-461X","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","9,565","2.2","Q3","0.57","6.75"%,
"INTERNATIONAL JOURNAL OF THERMOPHYSICS","INT J THERMOPHYS","0195-928X","1572-9567","PHYSICS, APPLIED - SCIE","5,430","2.2","Q3","0.43","15.48"%,
"ECS Journal of Solid State Science and Technology","ECS J SOLID STATE SC","2162-8769","2162-8777","PHYSICS, APPLIED - SCIE","6,140","2.2","Q3","0.37","30.51"%,
"NOUS","NOUS","0029-4624","1468-0068","PHILOSOPHY - AHCI","3,543","2.1","N/A","4.07","18.39"%,
"APPLIED PHYSICS B-LASERS AND OPTICS","APPL PHYS B-LASERS O","0946-2171","1432-0649","PHYSICS, APPLIED - SCIE","10,216","2.1","Q3","0.53","16.35"%,
"JOURNAL OF LASER APPLICATIONS","J LASER APPL","1042-346X","1938-1387","PHYSICS, APPLIED - SCIE","2,935","2.1","Q3","0.49","9.98"%,
"Journal of Computational Electronics","J COMPUT ELECTRON","1569-8025","1572-8137","PHYSICS, APPLIED - SCIE","2,526","2.1","Q3","0.47","6.76"%,
"IEEE TRANSACTIONS ON MAGNETICS","IEEE T MAGN","0018-9464","1941-0069","PHYSICS, APPLIED - SCIE","28,128","2.1","Q3","0.45","5.74"%,
"CRYOGENICS","CRYOGENICS","0011-2275","1879-2235","PHYSICS, APPLIED - SCIE","4,354","2.1","Q3","0.42","12.14"%,
"JOURNAL OF ELECTRONIC MATERIALS","J ELECTRON MATER","0361-5235","1543-186X","PHYSICS, APPLIED - SCIE","15,612","2.1","Q3","0.41","2.96"%,
"MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS","MICROSYST TECHNOL","0946-7076","1432-1858","PHYSICS, APPLIED - SCIE","6,596","2.1","Q3","0.41","4.02"%,
"Thin Solid Films","THIN SOLID FILMS","0040-6090","1879-2731","PHYSICS, APPLIED - SCIE","34,012","2.1","Q3","0.41","8.31"%,
"MOLECULAR SIMULATION","MOL SIMULAT","0892-7022","1029-0435","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","4,178","2.1","Q3","0.4","3.28"%,
"Nano Futures","NANO FUTURES","N/A","2399-1984","PHYSICS, APPLIED - SCIE","336","2.1","Q3","0.36","5.49"%,
"Advances in Natural Sciences-Nanoscience and Nanotechnology","ADV NAT SCI-NANOSCI","2043-6254","2043-6262","PHYSICS, APPLIED - ESCI","2,467","2.1","N/A","0.33","0"%,
"Philosophical Perspectives","PHILOS PERSPECT","1520-8583","1758-2245","PHILOSOPHY - AHCI","1,102","2","N/A","1.77","19.44"%,
"IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY","IEEE T DEVICE MAT RE","1530-4388","1558-2574","PHYSICS, APPLIED - SCIE","2,349","2","Q3","0.47","5.7"%,
"PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE","PHYS STATUS SOLIDI A","1862-6300","1862-6319","PHYSICS, APPLIED - SCIE","12,722","2","Q3","0.35","14.44"%,
"JOURNAL OF LOW TEMPERATURE PHYSICS","J LOW TEMP PHYS","0022-2291","1573-7357","PHYSICS, APPLIED - SCIE","3,875","2","Q3","0.34","14.59"%,
"Recent Patents on Nanotechnology","RECENT PAT NANOTECH","1872-2105","2212-4020","PHYSICS, APPLIED - SCIE","561","2","Q3","0.18","0"%,
"Philosophy Ethics and Humanities in Medicine","PHILOS ETHICS HUM ME","1747-5341","1747-5341","PHILOSOPHY - AHCI","383","1.9","N/A","1.3","100"%,
"MODERN PHYSICS LETTERS B","MOD PHYS LETT B","0217-9849","1793-6640","PHYSICS, APPLIED - SCIE","5,342","1.9","Q3","0.5","2.07"%,
"MIND","MIND","0026-4423","1460-2113","PHILOSOPHY - AHCI","3,422","1.8","N/A","3.83","12.07"%,
"Philosophy Compass","PHILOS COMPASS","N/A","1747-9991","PHILOSOPHY - AHCI","2,041","1.8","N/A","2.71","19.49"%,
"ATOMIC DATA AND NUCLEAR DATA TABLES","ATOM DATA NUCL DATA","0092-640X","1090-2090","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","3,293","1.8","Q3","0.93","18.06"%,
"INTERNATIONAL JOURNAL OF MASS SPECTROMETRY","INT J MASS SPECTROM","1387-3806","1873-2798","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL - SCIE","6,809","1.8","Q3","0.61","24.75"%,
